Hash Joins and Hash Teams in Microsoft SQL Server,"Shaun Cooper, Goetz Graefe, Ross Bunker",VLDB,1998,Hash Joins and Hash Teams in Microsoft SQL Server,"Goetz Graefe, Ross Bunker, Shaun Cooper",Very Large Data Bases,1998
A Normal Form for Precisely Characterizing Redundancy in Nested Relations,"Yiu-Kai Ng, David W. Embley, Wai Yin Mok",ACM Trans. Database Syst.,1996,A normal form for precisely characterizing redundancy in nested relations,"Wai Yin Mok, Yiu-Kai Ng, David W. Embley",ACM Transactions on Database Systems (TODS) ,1996
Rapid Bushy Join-order Optimization with Cartesian Products,"Bennet Vance, David Maier",SIGMOD Record,"1,996",Rapid bushy join-order optimization with Cartesian products,"Bennet Vance, David Maier",International Conference on Management of Data,1996
Information Management for Genome Level Bioinformatics,"Norman W. Paton, Carole A. Goble",VLDB,2001,Information Management for Genome Level Bioinformatics,"Norman W. Paton, Carole A. Goble",Very Large Data Bases,2001
A Modified Random Perturbation Method for Database Security,"Norman S. Matloff, Patrick Tendick",ACM Trans. Database Syst.,1994,A modified random perturbation method for database security,"Patrick Tendick, Norman Matloff",ACM Transactions on Database Systems (TODS) ,1994
"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Paraboschi, Piero Fraternali, Stefano Ceri",VLDB,1999,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Ceri, Piero Fraternali, Stefano Paraboschi",Very Large Data Bases,1999
An Adaptive Data Replication Algorithm,"Ouri Wolfson, Yixiu Huang, Sushil Jajodia",ACM Trans. Database Syst.,1997,An adaptive data replication algorithm,"Ouri Wolfson, Sushil Jajodia, Yixiu Huang",ACM Transactions on Database Systems (TODS) ,1997
A New Join Algorithm,"Arnold Charles Meltzer, Dong Keun Shin",SIGMOD Record,1994,A new join algorithm,"Dong Keun Shin, Arnold Charles Meltzer",ACM SIGMOD Record ,1994
XRANK: Ranked Keyword Search over XML Documents,"Feng Shao, Lin Guo, Chavdar Botev, Jayavel Shanmugasundaram",SIGMOD Conference,2003,XRANK: ranked keyword search over XML documents,"Lin Guo, Feng Shao, Chavdar Botev, Jayavel Shanmugasundaram",International Conference on Management of Data,2003
Energy Efficient Indexing on Air,"S. Viswanathan, B. R. Badrinath, Tomasz Imielinski",SIGMOD Record,1994,,"Tomasz Imielinski, S. Viswanathan, B. R. Badrinath",International Conference on Management of Data,1994
UniSQL's Next-Generation Object-Relational Database Management System,"Phil Janus, Albert D'Andrea",SIGMOD Record,1996,UniSQL's next-generation object-relational database management system,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record ,1996
