,0
"Laurent Amsaleg, Olivier Gruber, Michael J. Franklin",1
Mario A. Nascimento,2
"TPC-D-the challenges, issues and results",3
"World Wide Database-integrating the Web, CORBA and databases",4
"Johann Christoph Freytag, Felix Naumann, Ulf Leser",5
"COMMIX: towards effective web information extraction, integration and query answering",6
"Beng Chin Ooi, Bin Cui, Kian-Lee Tan, Jianwen Su",7
"G. Mecca, P. Atzeni, A. Masci, G. Sindoni, P. Merialdo",8
Selectivity Estimation in Extensible Databases - A Neural Network Approach,9
"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",10
"Jennifer Widom, Hector Garcia-Molina, Yue Zhuge, Joachim Hammer",11
James Chong,12
Kenn Gardels,13
"Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang",14
A New Join Algorithm,15
"Leonid Libkin, Timothy Griffin",16
International Conference on Management of Data,17
1999,18
XML document versioning,19
Virtual Database technology,20
Research activities in database management and information retrieval at University of Illinois at Chicago,21
Xmas: an extensible main-memory storage system for high-performance applications,22
"Ying Hu, Timothy Chorma, Nipun Agarwal, Seema Sundara, Jagannathan Srinivasan",23
Optimizing Multiple Dimensional Queries Simultaneously in Multidimensional Databases,24
Databases and Visualization,25
User-cognizant multidimensional analysis,26
"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",27
Estimating Alphanumeric Selectivity in the Presence of Wildcards,28
"Christoph Bussler, Dieter Fensel, Alexander Maedche",29
"Andrew Frank, Stephane Grumbach, Ralf Hartmut G&#252;ting, Christian S. Jensen, Manolis Koubarakis, Nikos Lorentzos, Yannis Manolopoulos, Enrico Nardelli, Barbara Pernici, Hans-J&#246;rg Schek, Michel Scholl, Timos Sellis, Babis Theodoulidis, Peter Widmayer",30
Preference formulas in relational queries,31
"Iakovos Motakis, Carlo Zaniolo",32
"Sirish Chandrasekaran, Owen Cooper, Amol Deshpande, Michael J. Franklin, Joseph M. Hellerstein, Wei Hong, Sailesh Krishnamurthy, Samuel R. Madden, Fred Reiss, Mehul A. Shah",33
"Tore Risch, Staffan Flodin",34
"Chong Leng Goh, Beng Chin Ooi, Stephane Bressan, Kian-Lee Tan",35
Michael Freeston,36
From ternary relationship to relational tables: a case against common beliefs,37
"William J. McKenna, Louis Burger, Chi Hoang, Melissa Truong",38
Petabyte Databases,39
A framework for diagnosing changes in evolving data streams,40
"Sharma Chakravarthy, Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, JungHwan Oh",41
"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",42
Accessing relational databases from the World Wide Web,43
"Srinivasa Narayanan, Subbu N. Subramanian",44
"Mihael Ankerst, Markus M. Breunig, Hans-Peter Kriegel, J&#246;rg Sander",45
"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",46
Hannu Toivonen,47
Orthogonal optimization of subqueries and aggregation,48
