Carsten Blecken,0
Distributed Transactions in Practice,1
Vijay Kumar,2
"Stacia De Lima, Li Chen, Ming Li, S. Weiner, Chandrakant Natarajan, Elke A. Rundensteiner, Xin Zhang, Kajal T. Claypool, Jing Jin",3
"Rachel Pottinger, Alon Y. Halevy, Philip A. Bernstein",4
Indexing Multimedia Databases (Tutorial),5
C2P: Clustering based on Closest Pairs,6
The hyperion project: from data integration to data coordination,7
Providing Dynamic Security Control in a Federated Database,8
"Fabio Casati, Ming-Chien Shan",9
"Martin Wechsler, Ulrike Glavitsch, Peter Schäuble",10
"Reuven Kashi, Nathan S. Netanyahu, Amihood Amir",11
"Berthold Reinwald, Hamid Pirahesh",12
"Richard T. Snodgrass, Wei Li, Dengfeng Gao",13
Bart Kuijpers,14
Supporting State-Wide Immunisation Tracking Using Multi-Paradigm Workflow Technology,15
Incremental Maintenance of Externally Materialized Views,16
OGDI: Toward Interoperability among Geospatial Databases,17
Navigating large-scale semi-structured data in business portals,18
A Scalable Algorithm for Answering Queries Using Views,19
"Roger S. Barga, David B. Lomet",20
Database Research at Arizona State University,21
P-Grid: a self-organizing structured P2P system,22
How to Modify SQL Queries in Order to Guarantee Sure Answers,23
"Duri Schmidt, Angelika Kotz Dittrich, Werner Dreyer",24
"Valérie Issarny, Patrick Valduriez, Khaled Yagoub, Daniela Florescu",25
WWW-UDK: A Web-based Environmental Meta-Information System,26
"Jeffrey F. Naughton, Amit Shukla, Prasad Deshpande",27
"Beng Chin Ooi, Kian-Lee Tan, Hongjun Lu",28
Opher Etzion,29
Dan Suciu,30
On Relational Support for XML Publishing: Beyond Sorting and Tagging,31
Christopher Ahlberg,32
"Leonidas Fegaras, David Maier",33
"Arthur J. Bernstein, Narayanan Krishnakumar",34
Iterative spatial join,35
Optimizing Multidimensional Index Trees for Main Memory Access,36
Materialization: A Powerful and Ubiquitous Abstraction Pattern,37
Arun Hampapur,38
Peter Fankhauser,39
"Lynn O. Wilson, Peter G. Selfridge, Divesh Srivastava",40
"Raymond T. Ng, Paul Shum",41
"Elisa Bertino, Ahmed K. Elmagarmid, Mohand-Said Hacid",42
"Babak Hamidzadeh, Kamalakar Karlapalem, Qing Li, Chung-Dak Shum, Dik Lun Lee, Frederick H. Lochovsky, Beat Wüthrich, Alex Chia-Yee Kean, Pamela Drew",43
Research Directions in Biodiversity Informatics,44
Bottom-Up Computation of Sparse and Iceberg CUBEs,45
Predictive Dynamic Load Balancing of Parallel and Distributed Rule and Query Processing,46
Donald R. Slutz,47
"Shivakumar Venkataraman, Tian Zhang",48
"Alfons Kemper, Florian Matthes, Donald Kossmann",49
"André Eickler, Alfons Kemper, Donald Kossmann",50
Object Query Standards,51
"Ravishankar Subramanya, Christos Faloutsos, Yoshiharu Ishikawa",52
"Steven D. Whitehead, Himanshu Sinha, Michael Murphy",53
"Byron Dom, Rakesh Agrawal, Prabhakar Raghavan, Soumen Chakrabarti",54
Database Research at UT Arlington,55
Adaptive Filters for Continuous Queries over Distributed Data Streams,56
Reasoning on regular path queries,57
"Thomas Brinkhoff, Hans-Peter Kriegel",58
Extracting Entity Profiles from Semistructured Information Spaces,59
CubeExplorer: online exploration of data cubes,60
"Christos Faloutsos, Byoung-Kee Yi",61
Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),62
R. G. G. Cattell,63
Probabilistic Optimization of Top N Queries,64
Exploratory Mining via Constrained Frequent Set Queries,65
Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,66
Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,67
"Jenny Chiang, Ze-Nian Li, Osmar R. Zaïane, Sonny H. Chee, Jiawei Han",68
VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,69
Memory-Contention Responsive Hash Joins,70
Implementing Crash Recovery in QuickStore: A Performance Study,71
Concurrency in the Data Warehouse,72
In-Memory Data Management for Consumer Transactions The Times-Ten Approach,73
Converting Relational to Object-Oriented Databases,74
"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendonça Mattos",75
"S. Sudarshan, Rajeev Rastogi, S. Seshadri, Mohana Krishna Lakhamraju",76
"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",77
A Transaction Replication Scheme for a Replicated Database with Node Autonomy,78
Secure Buffering in Firm Real-Time Database Systems,79
Semantic and Schematic Similarities Between Database Objects: A Context-Based Approach,80
DECLARE and SDS: Early Efforts to Commercialize Deductive Database Technology,81
An Introduction to Spatial Database Systems,82
"Marek Rusinkiewicz, Tomasz Ksiezyk, Richard S. Brice, Ray Shea, Vipul Kashyap, Andrzej Cichocki, Mosfeq Rashid, C. Unnikrishnan, Abdelsalam Helal, Amy Unruh, Marian H. Nodine, Jerry Fowler, Darrell Woelk, Gale Martin, Roberto J. Bayardo Jr., William Bohrer",83
From Data Independence to Knowledge Independence: An on-going Story,84
"Elke A. Rundensteiner, Song Wang, Li Chen",85
Petabyte Databases,86
The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,87
The Merge/Purge Problem for Large Databases,88
PeerDB: Peering into Personal Databases,89
A User-Centered Interface for Querying Distributed Multimedia Databases,90
WALRUS: A Similarity Retrieval Algorithm for Image Databases,91
A scalable hash ripple join algorithm,92
Query Processing Techniques for Multiversion Access Methods,93
"Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",94
Things Every Update Replication Customer Should Know,95
Optimization of Dynamic Query Evaluation Plans,96
The InfoSleuth Project,97
Automated Resolution of Semantic Heterogeneity in Multidatabases,98
Incremental Maintenance of Recursive Views Using Relational Calculus/SQL,99
Interview with Jim Gray,100
Dynamic Memory Adjustment for External Mergesort,101
Practical Issues with Commercial Use of Federated Databases,102
Distributed query evaluation on semistructured data,103
A new approach to developing and implementing eager database replication protocols,104
Geo/Environmental and Medical Data Management in the RasDaMan System,105
Data Placement in Shared-Nothing Parallel Database Systems,106
"Michael J. Carey, Subbu N. Subramanian, Eugene J. Shekita, Jerry Kiernan, Jayavel Shanmugasundaram",107
