id,source,sched_dep_time,sched_arr_time,id,flight,act_dep_time,act_arr_time
1,ua,2:55 PM,4:53 PM,1,UA-2708-EWR-CLT,2:55 PM,4:44 PM
2,airtravelcenter,,,2,UA-2708-EWR-CLT,3:04 PM,4:22 PM
3,myrateplan,,,3,UA-2708-EWR-CLT,3:04 PM,4:22 PM
4,helloflight,,,4,UA-2708-EWR-CLT,3:04 PM,4:22 PM
5,flytecomm,,,5,UA-2708-EWR-CLT,3:04 PM,4:22 PM
6,flights,,,6,UA-2708-EWR-CLT,2:52 PM,4:44 PM
7,businesstravellogue,,,7,UA-2708-EWR-CLT,2:52 PM,4:44 PM
8,flylouisville,,,8,UA-2708-EWR-CLT,2:52 PM,4:44 PM
9,flightstats,2:55 PM,4:53 PM,9,UA-2708-EWR-CLT,2:52 PM,4:44 PM
10,quicktrip,2:55 PM,4:53 PM,10,UA-2708-EWR-CLT,2:52 PM,4:44 PM
11,flightview,,,11,UA-2708-EWR-CLT,3:04 PM,4:24 PM
12,panynj,,,12,UA-2708-EWR-CLT,3:04 PM,4:24 PM
13,gofox,,,13,UA-2708-EWR-CLT,3:04 PM,4:24 PM
14,foxbusiness,,,14,UA-2708-EWR-CLT,3:04 PM,4:24 PM
15,allegiantair,,,15,UA-2708-EWR-CLT,3:04 PM,4:24 PM
16,boston,,,16,UA-2708-EWR-CLT,3:04 PM,4:24 PM
17,travelocity,2:55 PM,4:53 PM,17,UA-2708-EWR-CLT,,Dec 01 - Contact Airline
18,orbitz,2:55 PM,4:53 PM,18,UA-2708-EWR-CLT,2:52 PM,4:44 PM
19,weather,2:55 PM,4:53 PM,19,UA-2708-EWR-CLT,,
20,usatoday,,,20,UA-2708-EWR-CLT,3:04 PM,4:24 PMDec 01
21,ua,8:41 AM,9:54 AM,21,UA-3925-IAD-ORF,8:42 AM,9:43 AM
22,flightexplorer,,,22,UA-3925-IAD-ORF,9:01 AM,9:39 AM
23,airtravelcenter,,,23,UA-3925-IAD-ORF,9:00 AM,9:29 AM
24,myrateplan,,,24,UA-3925-IAD-ORF,9:01 AM,9:29 AM
25,helloflight,,,25,UA-3925-IAD-ORF,9:00 AM,9:29 AM
26,flytecomm,,,26,UA-3925-IAD-ORF,9:00 AM,9:29 AM
27,flightaware,8:41 AM,9:34 AM,27,UA-3925-IAD-ORF,8:51 AM,9:44 AM
28,wunderground,8:41 AM,9:34 AM,28,UA-3925-IAD-ORF,8:51 AM,9:44 AM
29,flights,,,29,UA-3925-IAD-ORF,8:42 AM,9:43 AM
30,businesstravellogue,,,30,UA-3925-IAD-ORF,8:42 AM,9:43 AM
31,flylouisville,,,31,UA-3925-IAD-ORF,8:42 AM,9:43 AM
32,flightstats,8:41 AM,9:54 AM,32,UA-3925-IAD-ORF,8:42 AM,9:43 AM
33,quicktrip,8:41 AM,9:54 AM,33,UA-3925-IAD-ORF,8:42 AM,9:43 AM
34,flightview,,,34,UA-3925-IAD-ORF,9:01 AM,9:43 AM
35,panynj,,,35,UA-3925-IAD-ORF,9:01 AM,9:43 AM
36,gofox,,,36,UA-3925-IAD-ORF,9:01 AM,9:43 AM
37,foxbusiness,,,37,UA-3925-IAD-ORF,9:01 AM,9:43 AM
38,allegiantair,,,38,UA-3925-IAD-ORF,9:01 AM,9:43 AM
39,boston,,,39,UA-3925-IAD-ORF,9:01 AM,9:40 AM
40,travelocity,,,40,UA-3925-IAD-ORF,9:00 AM,9:43 AM
