145,businesstravellogue,7:10 AM,3:30 PM,145,AA-222-LAX-BOS,7:31 AM,3:14 PM
1138,helloflight,,,1138,UA-3373-IAD-PHL,8:37 AM,9:13 AM
1141,businesstravellogue,,,1141,UA-3373-IAD-PHL,8:26 PM,9:13 AM
2064,orbitz,3:05 PM,6:30 PM,2064,AA-85-JFK-SFO,3:09 PM,6:43 PM
825,quicktrip,9:00 PM,12:15 AM,825,AA-3823-LAX-DEN,9:06 PM,11:49 PM
486,wunderground,1:00 PM,2:14 PM,486,AA-1279-DFW-PHX,2:04 PM,3:13 PM
1601,panynj,,,1601,AA-4344-ORD-DTW,12:14 PM,2:01 PM
1701,panynj,4:00 PM,6:40 PM,1701,AA-3786-IAH-ORD,4:12 PM,6:09 PM
261,helloflight,8:55 AM,11:45 AM,261,UA-1500-IAH-GUA,,
1521,helloflight,,,1521,AA-400-DFW-JFK,11:02 AM,2:58 PM
1355,airtravelcenter,,,1355,AA-2312-DFW-DTW,8:29 PM,11:35 PM
1350,usatoday,6:00 AM,6:40 AM,1350,AA-3809-PHX-LAX,,
183,ifly,7:00 AM,9:55 AM,183,AA-3468-CVG-MIA,7:25 AM,9:45 AM
1401,flightexplorer,,,1401,AA-1165-JFK-MIA,7:23 AM,9:45 AM
1091,airtravelcenter,,,1091,UA-414-LAX-SFO,6:10 AM,7:04 AM
158,weather,7:10 AM,3:30 PM,158,AA-222-LAX-BOS,,
1213,flytecomm,10:25 AM,6:44 PM,1213,CO-16-LAX-EWR,,
2009,panynj,8:35 AM,11:50 AM,2009,AA-431-MIA-SFO,8:52 AM,11:44 AM
944,myrateplan,,,944,AA-4198-ORD-CLE,10:55 AM,12:37 PM
1991,weather,12:00 PM,3:15 PM,1991,AA-3-JFK-LAX,12:12 PM,3:09 PM
334,quicktrip,11:05 AM,4:57 PM,334,UA-3050-PHX-CLT,11:30 AM,5:05 PM
2255,myrateplan,,,2255,UA-2704-DTW-PHX,11:47 AM,1:52 PM
1201,allegiantair,10:15 AM,12:10 PM,1201,AA-1664-MIA-ATL,10:19 AM,11:50 AM
50,airtravelcenter,,,50,AA-649-ORD-SNA,1:41 PM,3:29 PM
1676,quicktrip,4:00 PM,7:05 PM,1676,CO-45-EWR-MIA,3:58 PM,6:36 PM
880,gofox,2:35 PM,4:05 PM,880,AA-3804-PHL-ORD,2:44 PM,3:36 PM
68,weather,1:30 PM,3:50 PM,68,AA-649-ORD-SNA,,
718,flytecomm,,,718,AA-2050-ORD-MIA,11:06 AM,2:39 PM
1183,aa,10:15 AM,12:10 PM,1183,AA-1664-MIA-ATL,10:18 AM,11:56 AM
1797,airtravelcenter,,,1797,AA-404-MIA-MCO,6:58 AM,7:37 AM
1499,wunderground,7:15 AM,10:18 AM,1499,AA-1434-DFW-MCO,7:21 AM,10:29 AM
2091,orbitz,6:45 PM,9:10 PM,2091,AA-4307-ORD-DTW,6:40 PM,8:53 PM
137,flightexplorer,,,137,AA-222-LAX-BOS,7:32 AM,3:12 PM
230,foxbusiness,6:40 AM,9:25 AM,230,AA-518-MIA-JFK,6:54 AM,9:28 AM
2050,wunderground,3:05 PM,5:57 PM,2050,AA-85-JFK-SFO,3:36 PM,6:30 PM
2301,gofox,7:45 PM,10:30 PM,2301,AA-1733-ORD-PHX,7:59 PM,
407,panynj,,,407,CO-1023-IAH-DEN,12:06 PM,1:14 PM
2322,flytecomm,9:45 AM,1:16 PM,2322,CO-1090-BOS-IAH,,
1273,allegiantair,7:15 PM,12:21 AM,1273,CO-1694-LAX-IAH,,
2303,foxbusiness,7:45 PM,10:30 PM,2303,AA-1733-ORD-PHX,7:59 PM,
1278,ifly,7:15 PM,12:21 AM,1278,CO-1694-LAX-IAH,7:15 PM,12:21 AM
2304,foxbusiness,7:45 PM,10:30 PM,2304,AA-1733-ORD-PHX,7:59 PM,
878,flightview,2:35 PM,4:05 PM,878,AA-3804-PHL-ORD,2:44 PM,3:36 PM
412,orbitz,11:40 AM,1:17 PM,412,CO-1023-IAH-DEN,11:56 AM,1:14 PM
2095,mytripandmore,6:45 PM,9:10 PM,2095,AA-4307-ORD-DTW,6:40 PM,8:53 PM
2131,flightaware,11:25 PM,6:30 AM,2131,AA-204-LAX-MCO,11:57 PM,6:55 AM
1659,travelocity,11:50 AM,3:50 PM,1659,AA-446-DFW-PHL,11:54 AM,4:09 PM
1059,ord,8:00 PM,9:45 PM,1059,AA-1221-MCO-ORD,,
1683,boston,4:00 PM,7:05 PM,1683,CO-45-EWR-MIA,4:15 PM,6:36 PM
1522,flytecomm,,,1522,AA-400-DFW-JFK,11:02 AM,2:58 PM
1216,flylouisville,,,1216,CO-16-LAX-EWR,10:20 AM,6:34 PM
1899,gofox,,,1899,UA-3515-IAD-MSP,8:26 AM,9:56 AM
572,travelocity,3:27 PM,5:05 PM,572,UA-2830-MCO-CLT,,Dec 01 - Contact Airline
362,panynj,11:55 AM,6:17 PM,362,UA-3099-PHX-PHL,11:55 AM,6:17 PM
1861,boston,,,1861,UA-858-PVG-SFO,12:45 AM,7:58 AM
1247,foxbusiness,4:15 PM,7:55 PM,1247,AA-484-DFW-MIA,4:30 PM,7:39 PM
2148,mco,,6:55 AM,2148,AA-204-LAX-MCO,,6:50 AM
1906,usatoday,,,1906,UA-3515-IAD-MSP,8:26 AM,9:54 AM
1135,flightexplorer,,,1135,UA-3373-IAD-PHL,8:37 AM,9:13 AM
1894,flylouisville,,,1894,UA-3515-IAD-MSP,8:12 AM,9:56 AM
2445,flightarrival,,,2445,CO-52-IAH-LAX,7:56 AM,9:09 AM
1795,aa,6:45 AM,7:45 AM,1795,AA-404-MIA-MCO,6:57 AM,7:40 AM
2000,flightaware,8:35 AM,11:22 AM,2000,AA-431-MIA-SFO,8:51 AM,11:33 AM
2420,allegiantair,,,2420,AA-1886-BOS-MIA,10:55 AM,1:40 PM
829,gofox,9:00 PM,12:15 AM,829,AA-3823-LAX-DEN,,
949,flights,10:40 AM,12:55 PM,949,AA-4198-ORD-CLE,10:54 AM,12:50 PM
849,flylouisville,7:55 AM,11:05 AM,849,AA-2957-DFW-CVG,8:04 AM,11:01 AM
281,flightaware,6:30 PM,7:08 PM,281,AA-1640-MIA-MCO,6:30 PM,7:25 PM
879,panynj,2:35 PM,4:05 PM,879,AA-3804-PHL-ORD,2:44 PM,3:36 PM
331,businesstravellogue,11:05 AM,4:57 PM,331,UA-3050-PHX-CLT,11:30 AM,5:05 PM
2284,flytecomm,,,2284,AA-1733-ORD-PHX,7:59 PM,10:30 PM
2375,flightview,11:08 PM,5:11 AM,2375,UA-828-SFO-ORD,,
1366,world-flight-tracker,8:25 PM,11:50 PM,1366,AA-2312-DFW-DTW,8:29 PM,11:35 PM
1950,airtravelcenter,11:25 AM,2:50 PM,1950,CO-58-DEN-IAH,,
253,foxbusiness,,,253,AA-1007-MIA-PHX,5:09 PM,7:53 PM
1855,flylouisville,,,1855,UA-858-PVG-SFO,1:32 PM,8:02 AM
14,foxbusiness,,,14,UA-2708-EWR-CLT,3:04 PM,4:24 PM
591,boston,,,591,UA-2515-DFW-CLT,7:31 AM,10:45 AM
2123,mytripandmore,7:30 AM,8:00 AM,2123,AA-3979-CVG-ORD,7:28 AM,8:06 AM
1483,panynj,,,1483,AA-4330-CVG-ORD,3:36 PM,3:25 PM
339,foxbusiness,11:05 AM,4:57 PM,339,UA-3050-PHX-CLT,11:30 AM,5:05 PM
555,ua,3:27 PM,5:05 PM,555,UA-2830-MCO-CLT,3:27 PM,5:17 PM
1405,flytecomm,,,1405,AA-1165-JFK-MIA,7:23 AM,9:45 AM
406,flightview,,,406,CO-1023-IAH-DEN,12:06 PM,1:14 PM
338,gofox,11:05 AM,4:57 PM,338,UA-3050-PHX-CLT,11:30 AM,5:05 PM
2240,world-flight-tracker,2:55 PM,5:55 PM,2240,AA-1917-JFK-MCO,3:27 PM,5:43 PM
2314,ord,7:45 PM,10:30 PM,2314,AA-1733-ORD-PHX,,
455,weather,10:39 AM,11:19 AM,455,UA-5487-SFO-MRY,,
1480,flightstats,3:35 PM,4:00 PM,1480,AA-4330-CVG-ORD,3:36 PM,3:33 PM
2211,businesstravellogue,9:05 AM,12:35 PM,2211,AA-616-DFW-DTW,10:10 AM,1:27 PM
79,helloflight,,,79,UA-382-IAD-LAX,12:56 PM,3:09 PM
1015,airtravelcenter,2:53 PM,4:48 PM,1015,CO-1250-MIA-IAH,,
2124,aa,11:25 PM,6:55 AM,2124,AA-204-LAX-MCO,,
927,businesstravellogue,,,927,UA-6273-YYC-SFO,7:27 AM,8:45 AM
850,flightstats,7:55 AM,11:05 AM,850,AA-2957-DFW-CVG,8:04 AM,11:01 AM
2016,weather,8:35 AM,11:50 AM,2016,AA-431-MIA-SFO,8:52 AM,11:39 AM
1705,boston,4:00 PM,6:40 PM,1705,AA-3786-IAH-ORD,4:12 PM,6:09 PM
2047,helloflight,,,2047,AA-85-JFK-SFO,3:38 PM,6:30 PM
785,sfo,,10:45 AM,785,AA-59-JFK-SFO,,
1210,airtravelcenter,10:25 AM,6:44 PM,1210,CO-16-LAX-EWR,,
262,flytecomm,8:55 AM,11:45 AM,262,UA-1500-IAH-GUA,,
2110,quicktrip,7:30 AM,8:00 AM,2110,AA-3979-CVG-ORD,8:04 AM,8:06 AM
410,allegiantair,,,410,CO-1023-IAH-DEN,12:06 PM,1:14 PM
2136,flightstats,11:25 PM,6:55 AM,2136,AA-204-LAX-MCO,11:29 PM,6:35 AM
1805,flylouisville,6:45 AM,7:45 AM,1805,AA-404-MIA-MCO,6:57 AM,7:40 AM
961,travelocity,10:40 AM,12:55 PM,961,AA-4198-ORD-CLE,10:35 AM,12:50 PM
965,flightarrival,10:40 AM,12:55 PM,965,AA-4198-ORD-CLE,10:55 AM,12:48 PM
300,mytripandmore,6:30 PM,7:25 PM,300,AA-1640-MIA-MCO,,
2393,wunderground,1:29 PM,3:55 PM,2393,UA-37-EWR-MCO,2:01 PM,4:06 PM
666,gofox,6:00 PM,7:10 PM,666,CO-4888-IAH-DAL,,
498,boston,1:00 PM,2:35 PM,498,AA-1279-DFW-PHX,2:04 PM,3:19 PM
789,flightwise,7:10 AM,10:09 AM,789,AA-59-JFK-SFO,7:39 AM,10:52 AM
543,world-flight-tracker,3:50 PM,6:23 PM,543,UA-2906-PHL-MCO,4:28 PM,6:38 PM
318,orbitz,9:05 AM,11:53 AM,318,UA-37-EDI-EWR,8:52 AM,12:09 PM
298,mco,,7:25 PM,298,AA-1640-MIA-MCO,,2011-12-01 Thu  19:33
1651,quicktrip,11:50 AM,3:50 PM,1651,AA-446-DFW-PHL,12:12 PM,4:09 PM
603,flightaware,1:05 PM,2:17 PM,603,AA-789-ORD-DEN,1:19 PM,2:49 PM
1806,flightstats,6:45 AM,7:45 AM,1806,AA-404-MIA-MCO,6:57 AM,7:40 AM
237,aa,4:55 PM,8:05 AM,237,AA-1007-MIA-PHX,5:08 PM,7:55 PM
1468,flightexplorer,,,1468,AA-4330-CVG-ORD,3:36 PM,3:26 PM
302,flightarrival,6:30 PM,7:25 PM,302,AA-1640-MIA-MCO,6:56 PM,7:35 PM
30,businesstravellogue,,,30,UA-3925-IAD-ORF,8:42 AM,9:43 AM
1526,businesstravellogue,,,1526,AA-400-DFW-JFK,11:01 AM,3:04 PM
1319,foxbusiness,4:00 PM,6:46 PM,1319,UA-2726-FLL-PHL,4:10 PM,6:25 PM
468,flightview,,,468,CO-1614-LAX-IAH,12:58 AM,5:26 AM
2275,aa,7:45 PM,10:30 PM,2275,AA-1733-ORD-PHX,7:58 PM,
675,usatoday,5:30 PM,6:09 PM,675,CO-4888-IAH-DAL,,
1715,ua,4:25 PM,12:29 AM,1715,UA-233-LAX-JFK,4:25 PM,12:29 AM
751,flightview,,,751,CO-62-IAH-EWR,2:59 PM,7:10 PM
827,flightview,9:00 PM,12:15 AM,827,AA-3823-LAX-DEN,,
249,quicktrip,4:55 PM,8:05 PM,249,AA-1007-MIA-PHX,5:08 PM,7:55 PM
822,businesstravellogue,9:00 PM,12:15 AM,822,AA-3823-LAX-DEN,,
788,mytripandmore,7:10 AM,10:45 AM,788,AA-59-JFK-SFO,7:14 AM,11:12 AM
2036,gofox,,,2036,CO-1586-IAH-MCO,7:42 PM,10:29 AM
1364,flightstats,8:25 PM,11:50 PM,1364,AA-2312-DFW-DTW,8:29 PM,11:35 PM
71,ua,12:30 PM,3:19 PM,71,UA-382-IAD-LAX,12:35 PM,3:11 PM
1090,flightexplorer,,,1090,UA-414-LAX-SFO,6:09 AM,7:04 AM
111,flightarrival,,,111,UA-382-IAD-LAX,12:56 PM,3:20 PM
1062,mytripandmore,8:00 PM,9:45 PM,1062,AA-1221-MCO-ORD,8:01 PM,9:53 PM
