,0
1269,1
2153,2
751,3
253,4
367,5
129,6
6:44 PM,7
2130,8
881,9
8:36 PM,10
1340,11
10:11 AM,12
394,13
503,14
1130,15
100,16
1623,17
2:14 PM,18
10:02 AM,19
2071,20
8:30 PM,21
12:02 AM,22
1456,23
3:43 PM,24
9:19 PM,25
621,26
1236,27
944,28
2132,29
2434,30
1611,31
9:00 PM,32
656,33
1:34 PM,34
1478,35
1367,36
1702,37
11:40 AM,38
2172,39
9:43 AM,40
942,41
1260,42
1060,43
1360,44
1557,45
1321,46
2024,47
2195,48
372,49
11:12 AM,50
1255,51
1188,52
2127,53
92,54
634,55
586,56
201,57
317,58
11:52 AM,59
1906,60
1584,61
2421,62
597,63
CO-1090-BOS-IAH,64
1092,65
746,66
690,67
9:38 PM,68
613,69
1816,70
453,71
1982,72
797,73
421,74
AA-446-DFW-PHL,75
2163,76
1612,77
1:12 PM,78
514,79
1910,80
2:27 PM,81
AA-789-ORD-DEN,82
700,83
989,84
256,85
1343,86
1855,87
220,88
452,89
1719,90
38,91
7:35 AM,92
2435,93
56,94
1921,95
1730,96
518,97
1671,98
769,99
79,100
1284,101
2037,102
1266,103
2:58 PM,104
11:30 AM,105
533,106
280,107
963,108
393,109
249,110
335,111
1148,112
573,113
6:45 AM,114
1376,115
576,116
9:13 AM,117
1836,118
477,119
1258,120
2346,121
415,122
2378,123
153,124
966,125
flightwise,126
1088,127
9:01 AM,128
724,129
2337,130
1077,131
1045,132
1811,133
1973,134
546,135
757,136
230,137
756,138
438,139
863,140
1825,141
2328,142
2029,143
1409,144
397,145
548,146
1154,147
157,148
960,149
1139,150
1812,151
395,152
7:37 AM,153
7:31 AM,154
212,155
12:10 PM,156
2125,157
961,158
1326,159
1103,160
1110,161
9:06 PM,162
1780,163
1987,164
490,165
998,166
1065,167
670,168
184,169
2190,170
2295,171
26,172
196,173
1:47 PM,174
1068,175
1904,176
1031,177
890,178
1573,179
1136,180
2139,181
2011-12-01 9:19 PM (Estimated),182
7:36 PM,183
635,184
1083,185
2362,186
1970,187
1842,188
59,189
1657,190
1006,191
1959,192
1662,193
1175,194
CO-1023-IAH-DEN,195
7:05 PM,196
3:00 PM,197
1080,198
1818,199
AA-3063-SLC-LAX,200
1676,201
1744,202
1704,203
4:44 PM,204
8:02 AM,205
1221,206
1:18 PM,207
1:17 PM,208
12:21 AM,209
1132,210
11:15 AM,211
156,212
2208,213
315,214
931,215
1415,216
104,217
928,218
996,219
1641,220
1645,221
346,222
2233,223
1822,224
1496,225
2111,226
2372,227
1726,228
475,229
210,230
11:18 AM,231
1546,232
3:52 PM,233
1577,234
2319,235
2262,236
1373,237
2302,238
2344,239
6:33 PM,240
1916,241
2408,242
2256,243
1829,244
7:41 PM,245
1620,246
2303,247
10:22 PM,248
839,249
2399,250
916,251
254,252
2085,253
420,254
461,255
110,256
2147,257
609,258
1086,259
5:40 PM,260
1316,261
7:25 PM,262
4:25 PM,263
1838,264
2040,265
499,266
2:48 PM,267
1944,268
279,269
43,270
687,271
2003,272
99,273
2306,274
430,275
840,276
12:57 AM,277
3:07 PM,278
2268,279
2100,280
1381,281
2082,282
9,283
93,284
1262,285
1320,286
10:31 AM,287
1461,288
1416,289
535,290
1513,291
1931,292
265,293
1119,294
715,295
2409,296
1363,297
273,298
1830,299
1146,300
1480,301
311,302
468,303
860,304
992,305
380,306
9:30 AM,307
2:35 PM,308
7:38 PM,309
189,310
1636,311
AA-3-JFK-LAX,312
2205,313
AA-1917-JFK-MCO,314
1359,315
1778,316
1126,317
2055,318
7:49 AM,319
9:12 PM,320
241,321
530,322
AA-4307-ORD-DTW,323
2176,324
513,325
7:59 PM,326
AA-2957-DFW-CVG,327
172,328
433,329
805,330
1:43 PM,331
130,332
5:39 PM,333
5:24 AM,334
272,335
7:45 PM,336
553,337
1011,338
225,339
"Thu, Dec 1 10:39 AM",340
1073,341
2264,342
11:35 PM,343
10:57 AM,344
12:05 PM,345
1030,346
355,347
193,348
7:08 AM,349
2361,350
138,351
7:23 PM,352
1224,353
7:27 AM,354
2017,355
824,356
1070,357
1935,358
261,359
1873,360
1748,361
271,362
12:18 PM,363
1655,364
412,365
281,366
2404,367
106,368
1820,369
usatoday,370
orbitz,371
505,372
2133,373
283,374
554,375
1942,376
1967,377
1457,378
1960,379
209,380
2001,381
594,382
11:47 AM,383
1588,384
373,385
213,386
1569,387
531,388
6:38 PM,389
929,390
872,391
1237,392
flylouisville,393
2116,394
298,395
9:53 PM,396
103,397
1276,398
9:08 AM,399
11:25 PM,400
1213,401
985,402
7:42 PM,403
1779,404
2015,405
9:25 AM,406
2027,407
2213,408
2338,409
1308,410
2259,411
611,412
955,413
10:29 PM,414
770,415
1037,416
1739,417
2281,418
1022,419
1613,420
1318,421
1105,422
7:15 AM,423
422,424
1511,425
1517,426
12:56 PM,427
7:04 AM,428
1796,429
1936,430
625,431
866,432
1515,433
ord,434
7:22 AM,435
1633,436
75,437
567,438
1475,439
1885,440
159,441
12:03 PM,442
900,443
2237,444
1395,445
1433,446
1580,447
389,448
2278,449
7:29 AM,450
1254,451
7:45 AM,452
560,453
11:45 AM,454
600,455
dfw,456
1490,457
11:29 PM,458
1090,459
1209,460
131,461
761,462
775,463
661,464
1044,465
1250,466
855,467
2357,468
2186,469
4:09 PM,470
2053,471
5:17 PM,472
5:08 PM,473
2390,474
2324,475
1434,476
377,477
10:35 AM,478
1526,479
1204,480
2094,481
1795,482
1581,483
1634,484
969,485
57,486
72,487
2356,488
1962,489
2241,490
926,491
6:00 PM,492
665,493
11:32 AM,494
1566,495
1429,496
2067,497
1396,498
1062,499
4:22 PM,500
8:48 AM,501
11:41 AM,502
1765,503
1489,504
703,505
970,506
1851,507
496,508
2173,509
659,510
1528,511
5:11 AM,512
1039,513
3:11 AM,514
UA-3050-PHX-CLT,515
11:56 AM,516
1273,517
375,518
1393,519
1:48 PM,520
812,521
1668,522
AA-3804-PHL-ORD,523
1271,524
2047,525
1877,526
1852,527
2077,528
492,529
528,530
819,531
2364,532
2192,533
1227,534
1477,535
UA-3373-IAD-PHL,536
480,537
8:29 PM,538
1963,539
390,540
1930,541
35,542
339,543
10:48 PM,544
1473,545
709,546
1863,547
4:35 PM,548
2189,549
1874,550
2290,551
11:55 PM,552
1279,553
1406,554
54,555
5:30 PM,556
1190,557
1746,558
743,559
1727,560
809,561
482,562
2402,563
CO-58-DEN-IAH,564
1170,565
1955,566
226,567
1494,568
9:22 AM,569
353,570
4,571
6:19 AM,572
12:07 PM,573
2:20 PM,574
1437,575
2400,576
2296,577
2350,578
557,579
409,580
6:41 AM,581
1:06 PM,582
444,583
1482,584
gofox,585
9:16 AM,586
7:26 PM,587
7:16 AM,588
2045,589
2109,590
2180,591
2263,592
1107,593
1342,594
2327,595
451,596
1195,597
1392,598
1914,599
285,600
250,601
1728,602
2160,603
11:54 PM,604
1724,605
307,606
2384,607
2014,608
2392,609
1097,610
485,611
5:49 AM,612
10:30 PM,613
2123,614
2225,615
1426,616
1738,617
2031,618
2316,619
2:39 PM,620
1756,621
2092,622
9:10 PM,623
796,624
1606,625
1474,626
2285,627
7:10 AM,628
1507,629
2194,630
181,631
1854,632
2341,633
901,634
322,635
2340,636
1169,637
UA-3099-PHX-PHL,638
1939,639
1878,640
2201,641
1:42 PM,642
297,643
1965,644
3:10 PM,645
267,646
418,647
1275,648
2283,649
98,650
AA-1007-MIA-PHX,651
11:43 AM,652
1299,653
4:12 PM,654
1201,655
1297,656
1422,657
1975,658
5:57 PM,659
728,660
1646,661
2433,662
1929,663
1667,664
1361,665
278,666
1617,667
197,668
8:27 AM,669
671,670
1683,671
1141,672
71,673
534,674
1670,675
AA-4277-CVG-JFK,676
1285,677
614,678
2:38 PM,679
1788,680
1703,681
1832,682
10:28 AM,683
3:35 PM,684
1864,685
1419,686
1439,687
76,688
1425,689
9:35 AM,690
708,691
1774,692
1514,693
2221,694
2431,695
1679,696
7:05 AM,697
1924,698
234,699
10:55 AM,700
29,701
2046,702
11:58 PM,703
231,704
1798,705
260,706
179,707
AA-400-DFW-JFK,708
9:54 AM,709
2293,710
877,711
510,712
109,713
1784,714
277,715
1082,716
356,717
997,718
1733,719
2414,720
