id,flight,act_dep_time,act_arr_time
1,UA-2708-EWR-CLT,2:55 PM,4:44 PM
2,UA-2708-EWR-CLT,3:04 PM,4:22 PM
3,UA-2708-EWR-CLT,3:04 PM,4:22 PM
4,UA-2708-EWR-CLT,3:04 PM,4:22 PM
5,UA-2708-EWR-CLT,3:04 PM,4:22 PM
6,UA-2708-EWR-CLT,2:52 PM,4:44 PM
7,UA-2708-EWR-CLT,2:52 PM,4:44 PM
8,UA-2708-EWR-CLT,2:52 PM,4:44 PM
9,UA-2708-EWR-CLT,2:52 PM,4:44 PM
10,UA-2708-EWR-CLT,2:52 PM,4:44 PM
11,UA-2708-EWR-CLT,3:04 PM,4:24 PM
12,UA-2708-EWR-CLT,3:04 PM,4:24 PM
13,UA-2708-EWR-CLT,3:04 PM,4:24 PM
14,UA-2708-EWR-CLT,3:04 PM,4:24 PM
15,UA-2708-EWR-CLT,3:04 PM,4:24 PM
16,UA-2708-EWR-CLT,3:04 PM,4:24 PM
17,UA-2708-EWR-CLT,,Dec 01 - Contact Airline
18,UA-2708-EWR-CLT,2:52 PM,4:44 PM
19,UA-2708-EWR-CLT,,
20,UA-2708-EWR-CLT,3:04 PM,4:24 PMDec 01
21,UA-3925-IAD-ORF,8:42 AM,9:43 AM
22,UA-3925-IAD-ORF,9:01 AM,9:39 AM
23,UA-3925-IAD-ORF,9:00 AM,9:29 AM
24,UA-3925-IAD-ORF,9:01 AM,9:29 AM
25,UA-3925-IAD-ORF,9:00 AM,9:29 AM
26,UA-3925-IAD-ORF,9:00 AM,9:29 AM
27,UA-3925-IAD-ORF,8:51 AM,9:44 AM
28,UA-3925-IAD-ORF,8:51 AM,9:44 AM
29,UA-3925-IAD-ORF,8:42 AM,9:43 AM
30,UA-3925-IAD-ORF,8:42 AM,9:43 AM
31,UA-3925-IAD-ORF,8:42 AM,9:43 AM
32,UA-3925-IAD-ORF,8:42 AM,9:43 AM
33,UA-3925-IAD-ORF,8:42 AM,9:43 AM
