age,education,race,sex
<18,10th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,7th-8th,Black,Male
<18,11th,White,Female
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,12th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,HS-grad,White,Female
<18,11th,White,Male
<18,10th,White,Male
<18,11th,White,Male
<18,9th,Black,Male
<18,11th,White,Male
<18,12th,White,Male
<18,12th,Black,Male
<18,11th,White,Female
<18,11th,White,Male
<18,10th,White,Female
<18,12th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,10th,White,Female
<18,12th,White,Female
<18,12th,White,Female
<18,10th,Black,Male
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,Some-college,White,Male
<18,10th,White,Female
<18,11th,Black,Male
<18,12th,White,Female
<18,10th,White,Female
<18,HS-grad,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,10th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,12th,White,Female
<18,12th,White,Female
<18,12th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,9th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,10th,White,Female
<18,12th,White,Male
<18,11th,White,Male
<18,9th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,11th,Amer-Indian-Eskimo,Female
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,12th,White,Male
<18,11th,White,Female
<18,11th,White,Male
<18,12th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,11th,Black,Female
<18,12th,White,Female
<18,10th,Other,Female
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,9th,Black,Male
<18,11th,White,Female
<18,12th,White,Female
<18,11th,White,Male
<18,9th,White,Female
<18,9th,Black,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,12th,Black,Female
<18,12th,White,Male
<18,10th,Black,Male
<18,11th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,12th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,11th,Black,Female
<18,11th,White,Female
<18,5th-6th,White,Female
<18,10th,White,Female
<18,HS-grad,White,Female
<18,5th-6th,White,Male
<18,11th,White,Male
<18,10th,Amer-Indian-Eskimo,Male
<18,12th,White,Male
<18,11th,White,Male
<18,10th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,12th,White,Female
<18,10th,White,Male
<18,10th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,Black,Male
<18,11th,Black,Female
<18,12th,White,Male
<18,12th,White,Male
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,11th,White,Male
<18,11th,Black,Male
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Male
<18,10th,White,Male
<18,10th,Black,Male
<18,11th,White,Male
<18,9th,White,Female
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,12th,White,Female
<18,11th,White,Female
<18,HS-grad,White,Male
<18,12th,White,Female
<18,10th,White,Female
<18,10th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,Some-college,White,Female
<18,12th,White,Male
<18,HS-grad,Black,Female
<18,10th,White,Female
<18,12th,Black,Male
<18,12th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,10th,White,Male
<18,11th,Amer-Indian-Eskimo,Female
<18,10th,White,Female
<18,10th,White,Male
<18,12th,White,Male
<18,12th,White,Male
<18,7th-8th,White,Female
<18,10th,White,Male
<18,12th,White,Male
<18,HS-grad,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,9th,White,Male
<18,5th-6th,Black,Male
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,11th,White,Male
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,12th,White,Male
<18,12th,White,Male
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Male
<18,11th,White,Male
<18,11th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Male
<18,10th,White,Male
<18,11th,Asian-Pac-Islander,Female
<18,9th,Black,Male
<18,10th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,12th,White,Male
<18,11th,White,Male
<18,10th,White,Female
<18,11th,White,Male
<18,11th,Black,Female
<18,11th,White,Female
<18,10th,White,Male
<18,12th,White,Female
<18,11th,White,Female
<18,Some-college,Black,Female
<18,10th,White,Female
<18,11th,White,Male
<18,10th,White,Male
<18,11th,Other,Female
<18,11th,White,Female
<18,10th,Amer-Indian-Eskimo,Female
<18,HS-grad,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,12th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,11th,White,Male
<18,10th,White,Male
<18,10th,White,Female
<18,11th,White,Female
<18,12th,White,Female
<18,9th,Black,Male
<18,12th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,11th,White,Male
<18,12th,Black,Male
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Male
<18,12th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Male
<18,10th,Black,Male
<18,Some-college,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,9th,White,Male
<18,11th,Black,Female
<18,11th,Black,Male
<18,11th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Male
<18,HS-grad,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,10th,White,Female
<18,12th,White,Male
<18,10th,White,Male
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,10th,White,Male
<18,10th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,7th-8th,White,Male
<18,11th,White,Male
<18,12th,White,Male
<18,11th,White,Female
<18,10th,White,Male
<18,HS-grad,Black,Male
<18,11th,White,Female
<18,10th,White,Female
<18,10th,White,Male
<18,12th,White,Male
<18,11th,Black,Male
<18,10th,White,Male
<18,11th,White,Male
<18,11th,White,Male
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,12th,White,Male
<18,12th,White,Female
<18,11th,White,Female
<18,10th,Black,Male
<18,10th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,11th,Other,Male
<18,10th,White,Female
<18,11th,White,Female
<18,10th,White,Male
<18,11th,White,Male
<18,11th,White,Female
<18,11th,White,Male
<18,10th,White,Female
<18,10th,White,Male
<18,11th,White,Female
<18,11th,White,Female
<18,11th,White,Female
<18,12th,White,Male
<18,11th,White,Female
<18,10th,Black,Female
<18,12th,White,Male
<18,10th,White,Male
<18,10th,Black,Female
<18,11th,White,Female
<18,10th,White,Male
