"Dimitris Papadias, Jimeng Sun, Yufei Tao",0
M. Moni,1
An Axiomatic Model of Dynamic Schema Evolution in Objectbase Systems,2
EMC Information Sharing: Direct Access to MVS Data from Unix and NT,3
"H. Stephen Au-Yeung, C. P. Chou, Yuh-Ming Shyy",4
"Amol Deshpande, Rajeev Rastogi, Minos N. Garofalakis",5
Research Issues in Federated Database Systems: Report of EFDBS '97 Workshop,6
"COSIMA - Your Smart, Speaking E-Salesperson",7
"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan",8
Index Concurrency Control in Firm Real-Time Database Systems,9
Foreword by the VLDB '98 PC Chairmen: Best Papers of VLDB '98,10
Curtis E. Dyreson,11
"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",12
"Ashok Joshi, N. MacNaughton, Juan Loaiza, M. Keihl, Tirthankar Lahiri, William Bridge",13
"Raymond T. Ng, Jinhai Yang",14
DBCache: database caching for web application servers,15
"PM3: An Orthogonal Persistent Systems Programming Language - Design, Implementation, Performance",16
"Ahmed K. Elmagarmid, Athman Bouguettaya, Mourad Ouzzani, Brahim Medjahed",17
Outlier Detection for High Dimensional Data,18
"Alin Deutsch, Mary F. Fernandez, Dan Suciu",19
An approach to confidence based page ranking for user oriented Web search,20
"Hector Garcia-Molina, Wilburt Labio",21
Optimization of Run-time Management of Data Intensive Web-sites,22
A Database System for Real-Time Event Aggregation in Telecommunication,23
Frank Leymann,24
"David Hanley, Robert L. Grossman, Xiao Qin",25
Efficiently Publishing Relational Data as XML Documents,26
"Anindya Datta, Chris Jermaine, Edward Omiecinski",27
Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity,28
M-tree: An Efficient Access Method for Similarity Search in Metric Spaces,29
"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",30
amdb: An Access Method Debugging Tool,31
Analysis of predictive spatio-temporal queries,32
Selectivity Estimation in Spatial Databases,33
Finding Intensional Knowledge of Distance-Based Outliers,34
UniSQL's Next-Generation Object-Relational Database Management System,35
The Cougar Approach to In-Network Query Processing in Sensor Networks,36
SQL Query Optimization: Reordering for a General Class of Queries,37
"Salvatore J. Stolfo, Mauricio A. Hernández",38
Middle East Technical University Software Research and Development Center,39
Quorum Consensus in Nested Transaction Systems,40
"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",41
"Jim Gray, Betty Salzberg, Stefano Ceri, Andreas Reuter, Gerhard Weikum",42
"Alberto O. Mendelzon, Alejandro A. Vaisman",43
Self-Organizing Data Sharing Communities with SAGRES,44
"Minos N. Garofalakis, Rajeev Rastogi, Johannes Gehrke",45
Minimal probing: supporting expensive predicates for top-k queries,46
"Alfons Kemper, Donald Kossmann",47
Alfons Kemper,48
PESTO : An Integrated Query/Browser for Object Databases,49
Indexing the Positions of Continuously Moving Objects,50
"Wen-Syan Li, Chris Clifton",51
Efficient similarity search and classification via rank aggregation,52
DataBlitz: A High Performance Main-Memory Storage Manager,53
Design and Implementation of a Genetic-Based Algorithm for Data Mining,54
"Matthias Jarke, Stephan Jacobs, Michael Gebhardt",55
SQL Multimedia and Application Packages (SQL/MM),56
"Tiziana Catarci, Giuseppe Santucci",57
"Serge Abiteboul, Catriel Beeri",58
"Andrew Eisenberg, Jim Melton, Susan Malaika",59
Chebel Mina,60
Roberto J. Bayardo Jr.,61
Nearest Neighbor Queries,62
Optimizing Queries on Files,63
"David B. Lomet, Betty Salzberg",64
2000,65
The WHIPS Prototype for Data Warehouse Creation and Maintenance,66
1999,67
"Sanasam Ranbir Singh, Debasis Giri, Debajyoti Mukhopadhyay",68
Cost models for overlapping and multiversion structures,69
"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",70
"Charu C. Aggarwal, Alexander Hinneburg, Daniel A. Keim",71
"David M. Malon, Edward N. May",72
Expiring Data in a Warehouse,73
"Ugo Capuozzo, Elena Ferrari, Vijayalakshmi Atluri, Elisa Bertino, Nabil R. Adam",74
"Ouri Wolfson, A. Prasad Sistla",75
Guest editorial,76
Database in Crisis and Transition: A Technical Agenda for the Year 2001,77
"Kaizhong Zhang, Jason Tsong-Li Wang, Bruce A. Shapiro, Thomas G. Marr, Gung-Wei Chirn, Dennis Shasha",78
"Ramakrishnan Srikant, Balakrishna R. Iyer, Christos Faloutsos, Arun N. Swami, H. Miranda, Sakti P. Ghosh, A. Mahboob, Maurice A. W. Houtsma, Michael J. Carey, Tomasz Imielinski, Rakesh Agrawal",79
"Johannes Gehrke, Venkatesh Ganti, Raghu Ramakrishnan",80
Cache Conscious Algorithms for Relational Query Processing,81
Analyzing energy behavior of spatial access methods for memory-resident data,82
An Early Look at XQuery,83
"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",84
Chronological Scheduling of Transactions with Temporal Dependencies,85
"Manfred A. Jeusfeld, Mareike Schoop, Christoph Quix",86
On XML and Databases: Where's the Beef? (Panel Abstract),87
The Need for Distributed Asynchronous Transactions,88
"Carlotta Domeniconi, Vassilis J. Tsotras, George Kollios, Dimitrios Gunopulos",89
"Amr El Abbadi, Mirek Riedewald, Divyakant Agrawal",90
"Iakovos Motakis, Carlo Zaniolo",91
"Database tuning: principles, experiments, and troubleshooting techniques (part II)",92
"Sven Helmer, Guido Moerkotte, Till Westmann",93
"Vasilis Vassalos, Janet L. Wiener, Michael Rys, Serge Abiteboul, Jason McHugh",94
"Erik Duval, Eddy Forte, Kris Cardinaels, Koen Hendrikx, Florence Haenni, Maria Wentland Forte, Florence Simillion, Ken Warkentyne, E. Vervaet",95
"Michael Mlivoncic, Roger Weber, Klemens Böhm, Hans-Jörg Schek",96
Approximating Aggregate Queries about Web Pages via Random Walks,97
Object Fusion in Mediator Systems,98
"Bernhard Mitschang, Clara Nippl",99
"Michele Melchiori, Silvana Castano, G. Malvezzi, Domenico Beneventano, R. Guidetti, Alberto Corni, Sonia Bergamaschi, Maurizio Vincini",100
"Peter Buneman, Louiqa Raschid, Jeffrey D. Ullman",101
C. Gregory Doherty,102
"Georgios Evangelidis, Betty Salzberg, David B. Lomet",103
"Goetz Graefe, Diane L. Davison",104
"Terence Critchlow, Ron Musick",105
"Philip A. Bernstein, David Shutt, Shankar Pal",106
Leonidas Fegaras,107
Italian Electronic Identity Card - principle and architecture,108
"Shinichi Morishita, Yasuhiko Morimoto, Hiromu Ishii",109
"Title, Preface to the Special Issue on Persistent Object Systems",110
"Guido Moerkotte, Alfons Kemper, Carsten Andreas Gerlhof",111
Thémis: A Database Programming Language Handling Integrity Constraints,112
Ted Mihalisin,113
Dynamic Sample Selection for Approximate Query Processing,114
"Vladislav Shkapenyuk, Tamraparni Dasu, S. Muthukrishnan, Theodore Johnson",115
"Marianne Winslett, Kenneth Smith, Xiaolei Qian",116
Approximate Query Processing: Taming the TeraBytes,117
"Thomas Zurek, Markus Sinnwell",118
Philip Wadler,119
Andrew E. Wade,120
FlowBack: Providing Backward Recovery for Workflow Systems,121
"David Wilhite, Balakrishna R. Iyer",122
"David J. DeWitt, Mark D. Hill, Anastassia Ailamaki",123
"Zhiyuan Chen, Daniel Mahashin, Victor Cheng, Kyle Buza, Tobias Mayr, Hubert Siu, Randolph Chung, Ivan Oprencak, Philippe Bonnet, Takako M. Hickey, Praveen Seshadri, Ryan Kennedy",124
Object-Oriented Extensions in SQL3: A Status Report,125
"Fernando Berzal Galiano, Nicolás Marín",126
"Fenia Zioga, Peter Triantafillou, Stavros Christodoulakis",127
"Anand Rajaraman, Alon Y. Levy, Joann J. Ordille",128
"Jeffrey F. Naughton, Amit Shukla, Karthikeyan Ramasamy, Prasad Deshpande",129
Data Mining-based Intrusion Detectors: An Overview of the Columbia IDS Project,130
"Alexander Brodsky, Pavel A. Exarkhopoulo, Victor E. Segal, Jia Chen",131
Oracle8i Index-Organized Table and Its Application to New Domains,132
"Yannis Kotidis, Christos Faloutsos, Flip Korn, Alexandros Labrinidis",133
"André Eickler, Carsten Andreas Gerlhof, Donald Kossmann",134
"Kyu-Young Whang, Gunter Schlageter, Amr El Abbadi",135
"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",136
"Edward Y. Chang, Chen Li",137
"Amit P. Sheth, Aris M. Ouksel",138
Panel: Is Generic Metadata Management Feasible?,139
Steven J. DeRose,140
"Yannis E. Ioannidis, Viswanath Poosala",141
LOF: Identifying Density-Based Local Outliers,142
Eliminating Costly Redundant Computations from SQL Trigger Executions,143
"Åsa Hagström, Duminda Wijesekera, Francesco Parisi-Presicce, Sushil Jajodia",144
Towards On-Line Analytical Mining in Large Databases,145
Using the Golden Rule of Sampling for Query Estimation,146
"Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002",147
"Roy Goldman, Serge Abiteboul, Jennifer Widom, Dallan Quass, Jason McHugh",148
C. Mohan,149
"Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)",150
Efendi: Federated Database System of Cadlab,151
Research in database engineering at the University of Namur,152
"Rudolf Legat, Arne Koschel, Andree Keitel, Ralf Kramer, Claudia Rolker, Ralf Nikolai, Peter C. Lockemann, Konrad Zirm",153
"Michael Stonebraker, Sunita Sarawagi",154
"Yoëlle S. Maarek, David Carmel, Aya Soffer",155
Murali Mani,156
Effective Memory Use in a Media Server,157
"Peter Dadam, Christian Kalus",158
PicoDBMS: Validation and Experience,159
MPEG-7 Standard for Multimedia Databases,160
"Donald Kossmann, Michael J. Franklin, Björn Þór Jónsson",161
"Khoa Doan, Catherine Plaisant, Ben Shneiderman, Tom Bruns",162
An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,163
The WASA2 Object-Oriented Workflow Management System,164
"Bertram Ludäscher, Maryann E. Martone, Amarnath Gupta",165
Why And How To Benchmark XML Databases,166
"Per-Åke Larson, Luis Gravano, Stefano Ceri, Leonid Libkin, Tova Milo, Kenneth A. Ross",167
Incremental Updates of Inverted Lists for Text Document Retrieval,168
Intelligent Access to Heterogeneous Information Sources: Report on the 4th Workshop on Knowledge Representation Meets Databases,169
"Leonard Loureiro, Yi Deng, Carlos Ordonez 0002, Mario Sanchez, Cyril U. Orji, Wei Sun, Artyom Shaposhnikov, Naphtali Rishe, Michael Alexopoulos, David Barton",170
"Ubiquitous, Self-tuning, Scalable Servers",171
Synchronization and Recovery in a Client-Server Storage System,172
Daniel A. Keim,173
Selective information dissemination in P2P networks: problems and solutions,174
"Laks V. S. Lakshmanan, Raymond T. Ng, Carson Kai-Sang Leung",175
Extended Ehemeral Logging: Log Storage Management for Applications with Long Lived Transactions,176
A Complete Temporal Relational Algebra,177
Reminiscences an Influential Papers,178
A Comprehensive XQuery to SQL Translation using Dynamic Interval Encoding,179
Loading the Data Warehouse Across Various Parallel Architectures,180
The GMAP: A Versatile Tool for Physical Data Independence,181
"Jeffrey F. Naughton, John C. Shafer, David J. DeWitt, Shivakumar Venkataraman",182
"Using Taxonomy, Discriminants, and Signatures for Navigating in Text Databases",183
Clustering by pattern similarity in large data sets,184
"Yossi Matias, Saar Cohen",185
Analysis of existing databases at the logical level: the DBA companion project,186
"Athman Bouguettaya, Brahim Medjahed, Ahmed K. Elmagarmid",187
Database Design with Common Sense Business Reasoning and Learning,188
"Jacek Skowronek, Maurice van Keulen, Jan Flokstra",189
The hcC-tree: An Efficient Index Structure for Object Oriented Databases,190
Collaborative Analytical Processing - Dream or Reality? (Panel abstract),191
Data In Your Face: Push Technology in Perspective,192
"Michael J. Wynblatt, Julio C. Navas",193
A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,194
Value-cognizant Speculative Concurrency Control,195
Orthogonally Persistent Object Systems,196
In-Memory Data Management for Consumer Transactions The Times-Ten Approach,197
Integration of Spatial Join Algorithms for Processing Multiple Inputs,198
XML schema,199
Report on NGITS'99: The 4th International Workshop on Next Generation Information Technologies and Systems,200
"P. Bruce Berra, Bhavani M. Thuraisingham, Kingsley C. Nwosu",201
On Parallel Execution of Multiple Pipelined Hash Joins,202
