Hash Joins and Hash Teams in Microsoft SQL Server,"Goetz Graefe, Ross Bunker, Shaun Cooper",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
A normal form for precisely characterizing redundancy in nested relations,"Wai Yin Mok, Yiu-Kai Ng, David W. Embley",ACM Transactions on Database Systems (TODS) ,1996
Rapid bushy join-order optimization with Cartesian products,"Bennet Vance, David Maier",International Conference on Management of Data,1996
Information Management for Genome Level Bioinformatics,"Norman W. Paton, Carole A. Goble",Very Large Data Bases,2001
A modified random perturbation method for database security,"Patrick Tendick, Norman Matloff",ACM Transactions on Database Systems (TODS) ,1994
"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Ceri, Piero Fraternali, Stefano Paraboschi",Very Large Data Bases,1999
An adaptive data replication algorithm,"Ouri Wolfson, Sushil Jajodia, Yixiu Huang",ACM Transactions on Database Systems (TODS) ,1997
A new join algorithm,"Dong Keun Shin, Arnold Charles Meltzer",ACM SIGMOD Record ,1994
XRANK: ranked keyword search over XML documents,"Lin Guo, Feng Shao, Chavdar Botev, Jayavel Shanmugasundaram",International Conference on Management of Data,2003
 ,"Tomasz Imielinski, S. Viswanathan, B. R. Badrinath",International Conference on Management of Data,1994
UniSQL's next-generation object-relational database management system,"Albert D'Andrea, Phil Janus",ACM SIGMOD Record ,1996
Recovery protocols for shared memory database systems,"Lory D. Molesky, Krithi Ramamritham",International Conference on Management of Data,1995
The power of languages for the manipulation of complex values,"Serge Abiteboul, Catriel Beeri",Very Large Data Bases,1995
MOSAICO-a system for conceptual modeling and rapid prototyping of object-oriented database application,"M. Missikoff, M. Toiati",International Conference on Management of Data,1994
MindReader: Querying Databases Through Multiple Examples,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1998
Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"Luis Gravano, Hector Garcia-Molina",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
Spatial hash-joins,"Ming-Ling Lo, Chinya V. Ravishankar",International Conference on Management of Data,1996
Transactional client-server cache consistency: alternatives and performance,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Transactions on Database Systems (TODS) ,1997
Information gathering in the World-Wide Web: the W3QL query language and the W3QS system,"David Konopnicki, Oded Shmueli",ACM Transactions on Database Systems (TODS) ,1998
Discovering all most specific sentences,"Dimitrios Gunopulos, Roni Khardon, Heikki Mannila, Sanjeev Saluja, Hannu Toivonen, Ram Sewak Sharma",ACM Transactions on Database Systems (TODS) ,2003
Opportunities in information management and assurance,Xiaolei Qian,ACM SIGMOD Record ,1997
Atomicity versus Anonymity: Distributed Transactions for Electronic Commerce,J. D. Tygar,Very Large Data Bases,1998
Reminiscences on influential papers,Kenneth A. Ross,ACM SIGMOD Record ,2002
T2: a customizable parallel database for multi-dimensional data,"Chialin Chang, Anurag Acharya, Alan Sussman, Joel Saltz",ACM SIGMOD Record ,1998
Efficient execution of joins in a star schema,Andreas Weininger,International Conference on Management of Data,2002
A database perspective on Lotus Domino/Notes,C. Mohan,International Conference on Management of Data,1999
DIRECTV and Oracle Rdb: the challenge of VLDB transaction processing,William L. Gettys,International Conference on Management of Data,1995
A goal-driven auto-configuration tool for the distributed workflow management system mentorlite,"Michael Gillmann, Jeanine Weissenfels, German Shegalov, Wolfgang Wonner, Gerhard Weikum",International Conference on Management of Data,2000
Algorithms for deferred view maintenance,"Latha S. Colby, Timothy Griffin, Leonid Libkin, Inderpal Singh Mumick, Howard Trickey",International Conference on Management of Data,1996
Improving database design through the analysis of relationships,"Debabrata Dey, Veda C. Storey, Terence M. Barron",ACM Transactions on Database Systems (TODS) ,1999
Goal-oriented buffer management revisited,"Kurt P. Brown, Michael J. Carey, Miron Livny",International Conference on Management of Data,1996
QuickStore: a high performance mapped object store,"Seth J. White, David J. DeWitt",International Conference on Management of Data,1994
Beyond document similarity: understanding value-based search and browsing technologies,"Andreas Paepcke, Hector Garcia-Molina, Gerard Rodriguez-Mula, Junghoo Cho",ACM SIGMOD Record ,2000
"Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS) ,2001
Analysis of SIGMOD's co-authorship graph,"Mario A. Nascimento, J&#246;rg Sander, Jeffrey Pound",ACM SIGMOD Record ,2003
Transaction Timestamping in (Temporal) Databases,"Christian S. Jensen, David B. Lomet",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
TSQL2 language specification,"Richard Thomas Snodgrass, Ilsoo Ahn, Gadi Ariav, Don Batory, James Clifford, Curtis E. Dyreson, Ramez Elmasri, Fabio Grandi, Christian S. Jensen, Wolfgang K&#228;fer, Nick Kline, Krishna Kulkarni, T. Y. Cliff Leung, Nikos Lorentzos, John F. Roddick, Arie Segev, Michael D. Soo, Suryanarayana M. Sripada",ACM SIGMOD Record ,1994
Supporting dynamic displays using active rules,"Oscar D&#237;az, Arturo Jaime, Norman W. Paton, Ghassan al-Qaimari",ACM SIGMOD Record ,1994
From Nested-Loop to Join Queries in OODB,"Hennie J. Steenhagen, Peter M. G. Apers, Henk M. Blanken, Rolf A. de By",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1994
Issues in Network Management in the Next Millennium,"Michael L. Brodie, Surajit Chaudhuri",Very Large Data Bases,1999
Review of Web caching and replication by Michael Rabinovich and Oliver Spatscheck. Addison Wesley 2002.,"Qiang Wang, Brian D. Davison",ACM SIGMOD Record ,2003
"Developing a high traffic, read-only Web site","John Nauman, Ray Suorsa",International Conference on Management of Data,1998
Efficient Progressive Skyline Computation,"Kian-Lee Tan, Pin-Kwang Eng, Beng Chin Ooi",Very Large Data Bases,2001
Fast High-Dimensional Data Search in Incomplete Databases,"Beng Chin Ooi, Cheng Hian Goh, Kian-Lee Tan",Very Large Data Bases,1998
Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"Paul Ammann, Sushil Jajodia, Indrakshi Ray",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
Characterization of database access pattern for analytic prediction of buffer hit probability,"Asit Dan, Philip S. Yu, Jen Yao Chung",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1995
DeeDS towards a distributed and active real-time database system,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record ,1996
Efficient and cost-effective techniques for browsing and indexing large video databases,"JungHwan Oh, Kien A. Hua",International Conference on Management of Data,2000
The database research group at ETH Zurich,"Moira C. Norrie, Stephen M. Blott, Hans-J&#246;rg Schek, Gerhard Weikum",ACM SIGMOD Record ,1994
