"Kamalakar Karlapalem, Qing Li, Chung-Dak Shum",0
,1
Daniel Barbar&#225;,2
"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",3
"Adaptable pointer swizzling strategies in object bases: design, realization, and quantitative analysis",4
"Joseph M. Hellerstein, Jennifer Widom",5
Research perspectives for time series management systems,6
View management in multimedia databases,7
Dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,8
"Shimin Chen, Phillip B. Gibbons, Todd C. Mowry, Gary Valentin",9
Towards data mining benchmarking: a test bed for performance study of frequent pattern mining,10
Record-boundary discovery in Web documents,11
Pillip A. Bernstein,12
"Ron Avnur, Joseph M. Hellerstein",13
DNA-miner: a system prototype for mining DNA sequences,14
Inferring Function Semantics to Optimize Queries,15
Implementing data cubes efficiently,16
"Tim Finin, Anupam Joshi",17
"Kaushik Chakrabarti, Sharad Mehrotra",18
"Swarup Acharya, Michael J. Franklin, Stanley B. Zdonik",19
"Alexandros Labrinidis, Alberto O. Mendelzon",20
"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",21
Curio: A Novel Solution for Efficient Storage and Indexing in Data Warehouses,22
"Fabrizio Ferrandina, Thorsten Meyer, Roberto Zicari, Guy Ferran, Jo&#235;lle Madec",23
"Thomas A. Mueck, Martin L. Polaschek",24
"Joan Peckham, Bonnie MacKellar, Michael Doherty",25
"Ning An, Sudhanva Gurumurthi, Anand Sivasubramaniam, Narayanan Vijaykrishnan, Mahmut Kandemir, Mary Jane Irwin",26
"Eric Simon, Angelika Kotz Dittrich",27
Chebel Mina,28
"Beng Chin Ooi, Kian-Lee Tan, Tat Seng Chua, Wynne Hsu",29
"Alexandros Biliris, Euthimios Panagos",30
Martin Grohe,31
"Michael J. Carey, Michael J. Franklin, Markos Zaharioudakis",32
"Davood Rafiei, Alberto Mendelzon",33
"Mary Fernandez, Atsuyuki Morishima, Dan Suciu",34
A study on data point search for HG-trees,35
Selectivity estimation for spatio-temporal queries to moving objects,36
"Debabrata Dey, Sumit Sarkar",37
C. J. Date,38
"Sihem Amer-Yahia, Theodore Johnson",39
"Wei Li, Dengfeng Gao, Richard Thomas Snodgrass",40
"Sudipto Guha, H. V. Jagadish, Nick Koudas, Divesh Srivastava, Ting Yu",41
Krishna G. Kulkarni,42
"A. Sheth, S. Thacker, S. Patel",43
"Christoph Bussler, Dieter Fensel, Alexander Maedche",44
Semantic B2B integration: issues in ontology-based approaches,45
Dieter Gawlick,46
"Data management in eCommerce (tutorial session): the good, the bad, and the ugly",47
Information systems research at RWTH Aachen,48
Normalization in OODB design,49
View maintenance in a warehousing environment,50
An extended entity-relationship model for geographic applications,51
Description logics for semantic query optimization in object-oriented database systems,52
DataSplash,53
XPath processing in a nutshell,54
Answering complex SQL queries using automatic summary tables,55
Ripple joins for online aggregation,56
"Joachim Hammer, H&#233;ctor Garc&#237;a-Molina, Svetlozar Nestorov, Ramana Yerneni, Marcus Breunig, Vasilis Vassalos",57
"Andr&#233; Gamache, Nadjiba Sahraoui",58
"M. Seetha Lakshmi, Shaoyu Zhou",59
"Michael Steinbrunn, Klaus Peithner, Guido Moerkotte, Alfons Kemper",60
"Hongjun Lu, Hongyan Liu",61
"Kevin Chen-Chuan Chang, H&#233;ctor Garc&#237;a-Molina",62
"Zachary G. Ives, A. Y. Halevy, D. S. Weld",63
Efficient algorithms for minimizing tree pattern queries,64
"&#216;ystein Gr&#248;vlen, Svein-Olaf Hvasshovd, &#216;ystein Torbj&#248;rnsen",65
A Bayesian decision model for cost optimal record matching,66
The handwritten trie: indexing electronic ink,67
MultiMediaMiner: a system prototype for multimedia data mining,68
Detection and classification of intrusions and faults using sequences of system calls,69
Modelling temporal thematic map contents,70
Design and management of data warehouses report on the DMDW'99 workshop,71
"Lidan Shou, Jason Chionh, Zhiyong Huang, Yixin Ruan, Kian-Lee Tan",72
Query by diagram: a graphical environment for querying databases,73
Using extended feature objects for partial similarity retrieval,74
