Metadata for Integrating Speech Documents in a Text Retrieval System,"Martin Wechsler, Ulrike Glavitsch, Peter Schäuble",SIGMOD Conference,1994
Automatic Generation of Production Rules for Integrity Maintenance,"Letizia Tanca, Stefano Ceri, Piero Fraternali, Stefano Paraboschi",ACM Trans. Database Syst.,1994
Critical Database Technologies for High Energy Physics,"David M. Malon, Edward N. May",VLDB,1-997
Concurrency Control in Hierarchical Multidatabase Systems,"Henry F. Korth, Abraham Silberschatz, Sharad Mehrotra",VLDB J.,1997
Answering queries using views: A survey,Alon Y. Halevy,VLDB J.,2001
Evaluation of Main Memory Join Algorithms for Joins with Set Comparison Join Predicates,"Guido Moerkotte, Sven Helmer",VLDB,1997
Qcluster: Relevance Feedback Using Adaptive Clustering for Content-Based Image Retrieval,"Deok-Hwan Kim, Chin-Wan Chung",SIGMOD Record,2003
Chain : Operator Scheduling for Memory Minimization in Data Stream Systems,"Brian Babcock, Shivnath Babu, Rajeev Motwani, Mayur Datar",SIGMOD Conference,2003
A Consumer Viewpoint on Mediator Languages - a Proposal for a Standard,"Eric Hughes, Leonard J. Seligman, Arnon Rosenthal, Scott Renner",SIGMOD Record,1997
Research in Information Managment at Dublin City University,"Alan F. Smeaton, Mark Roantree",SIGMOD Conference,2002
Learning to match ontologies on the Semantic Web,"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan",VLDB J.,2003
Concept Based Design of Data Warehouses: The DWQ Demonstrators,"Panos Vassiliadis, Spyros Ligoudistianos, Diego Calvanese, Christoph Quix, Maurizio Lenzerini, Matthias Jarke, Enrico Franconi, Yannis Vassiliou",SIGMOD Conference,2000
The WHIPS Prototype for Data Warehouse Creation and Maintenance,"Hector Garcia-Molina, Himanshu Gupta, Wilburt Labio, Yue Zhuge, Janet L. Wiener, Jennifer Widom",SIGMOD Record,1997
LockX: A System for Efficiently Querying Secure XML,"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",SIGMOD Conference,2003
Spatial Joins Using Seeded Trees,"Chinya V. Ravishankar, Ming-Ling Lo",SIGMOD Conference,1994
Recovering Information from Summary Data,"Nikolaos Sidiropoulos, Christos Faloutsos, H. V. Jagadish",VLDB,1997
Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",SIGMOD Conference,1999
A General Techniques for Querying XML Documents using a Relational Database System,"Stratis Viglas, Eugene J. Shekita, Rajasekar Krishnamurthy, Jayavel Shanmugasundaram, Jeffrey F. Naughton, Jerry Kiernan, Igor Tatarinov",SIGMOD Record,2001
Java and Relational Databases: SQLJ (Tutorial),"Johannes Klein, Richard Pledereder, Gray Clossman, Brian Becker, Phil Shaw, Mark Hapner",SIGMOD Conference,1998
The Onion Technique: Indexing for Linear Optimization Queries,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",SIGMOD Record,2000
Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"Günter Sauter, Fernando de Ferreira Rezende",VLDB,1998
A Top-Down Approach for Two Level Serializability,"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",VLDB,1994
Report on FQAS 2002: fifth international conference on flexible query answering systems,"Amihai Motro, Troels Andreasen",SIGMOD Conference,2003
Optimal Histograms with Quality Guarantees,"S. Muthukrishnan, H. V. Jagadish, Kenneth C. Sevcik, Torsten Suel, Nick Koudas, Viswanath Poosala",VLDB,1998
Duplicate Removal in Information System Dissemination,"Tak W. Yan, Hector Garcia-Molina",VLDB,1995
Enterprise Transaction Processing on Windows NT,Greg Hope,SIGMOD Conference,1995
ACDN: a content delivery network for applications,"Michael Rabinovich, Pradnya Karbhari, Fred Douglis, Zhen Xiao",SIGMOD Record,2002
A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",VLDB,2001
High-Performance Sorting on Networks of Workstations,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",SIGMOD Conference,1997
"TPC-DS, taking decision support benchmarking to the next level","Bryan Smith, Meikel Pöss, Lubor Kollár, Per-Åke Larson",SIGMOD Conference,2002
Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,2-001
"50,000 Users on an Oracle8 Universal Server Database","Ashok Josji, Tirthankar Lahiri, Amit Jasuja, Sumanta Chatterjee",SIGMOD Record,1998
Cache Fusion: Extending Shared-Disk Clusters with Shared Caches,"Tirthankar Lahiri, N. MacNaughton, Sashikanth Chandrasekaran, Wilson Chan, Vinay Srihari",VLDB,2001
Highly Concurrent Cache Consistency for Indices in Client-Server Database Systems,"Michael J. Carey, Markos Zaharioudakis",SIGMOD Record,1997
Mining Email Content for Author Identification Forensics,"George M. Mohay, M. Corney, A. Anderson, Olivier Y. de Vel",SIGMOD Conference,2001
Principles of Optimally Placing Data in Tertiary Storage Libraries,"Fenia Zioga, Peter Triantafillou, Stavros Christodoulakis",VLDB,1997
Querying Structured Text in an XML Database,"H. V. Jagadish, Shurug Al-Khalifa, Cong Yu",SIGMOD Conference,2003
Materialized View Selection and Maintenance Using Multi-Query Optimization,"Krithi Ramamritham, Hoshi Mistry, Prasan Roy, S. Sudarshan",SIGMOD Record,2001
Reasoning on regular path queries,"Giuseppe De Giacomo, Moshe Y. Vardi, Maurizio Lenzerini, Diego Calvanese",SIGMOD Record,2003
A Performance Evaluation of OID Mapping Techniques,"André Eickler, Carsten Andreas Gerlhof, Donald Kossmann",VLDB,1995
Reducing Multidatabase Query Response Time by Tree Balancing,"Weimin Du, Ming-Chien Shan, Umeshwar Dayal",SIGMOD Record,1995
The Ecobase Project: Database and Web Technologies for Environmental Information Systems,"Asterio K. Tanaka, Patrick Valduriez",SIGMOD Conference,2-001
Business Data Management for B2B Electronic Commerce,"Manfred A. Jeusfeld, Mareike Schoop, Christoph Quix",SIGMOD Conference,2002
Adaptive Selectivity Estimation Using Query Feedback,"Chung-Min Chen, Nick Roussopoulos",SIGMOD Conference,1994
Online Aggregation,"Helen J. Wang, Peter J. Haas, Joseph M. Hellerstein",SIGMOD Conference,1997
Reminiscences on Influential Papers,Richard T. Snodgrass,SIGMOD Record,1998
Open Issues in Parallel Query Optimization,"Waqar Hasan, Patrick Valduriez, Daniela Florescu",SIGMOD Record,1996
HMAP - A temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"Carlo Combi, Giuseppe Pozzi",VLDB J.,2001
Type-safe Relaxing of Schema Consistency Rules for Flexible Modeling in OODBMS,"Marie-Jo Bellosta, Eric Amiel, Eric Simon, Eric Dujardin",VLDB J.,1996
Dimensionality Reduction for Similarity Searching in Dynamic Databases,"Ambuj K. Singh, Kothuri Venkata Ravi Kanth, Divyakant Agrawal",SIGMOD Record,1998
Shrinking the Warehouse Update Window,"Hector Garcia-Molina, Ramana Yerneni, Wilburt Labio",SIGMOD Conference,1999
Query Unnesting in Object-Oriented Databases,Leonidas Fegaras,SIGMOD Conference,1998
PC Database Systems - Present and Future,Philip A. Bernstein,VLDB,1994
Bringing Order to Query Optimization,"Giedrius Slivinskas, Richard T. Snodgrass, Christian S. Jensen",SIGMOD Conference,2002
A Prototype Content-Based Retrieval System that Uses Virtual Images to Save Space,"Leonard Brown, Le Gruenwald",VLDB,2001
Sleepers and Workaholics: Caching Strategies in Mobile Environments,"Daniel Barbará, Tomasz Imielinski",SIGMOD Conference,1994
The Distributed Information Search Component (Disco) and the World Wide Web,"Olga Kapitskaia, Philippe Bonnet, Hubert Naacke, Anthony Tomasic, Louiqa Raschid, Rémy Amouroux",SIGMOD Record,1-997
Implementing Deletion in B+-Trees,Jan Jannink,SIGMOD Conference,1995
COSS: The Common Object Services Specifications,Bruce E. Martin,SIGMOD Conference,1994
Why Decision Support Fails and How To Fix It,"Kevin Strehlo, Ralph Kimball",SIGMOD Record,1995
Hierarchical Prefix Cubes for Range-Sum Queries,"Chee Yong Chan, Yannis E. Ioannidis",VLDB,1999
Online Feedback for Nested Aggregate Queries with Multi-Threading,"Beng Chin Ooi, Kian-Lee Tan, Cheng Hian Goh",VLDB,1999
Of Objects and Databases: A Decade of Turmoil,"David J. DeWitt, Michael J. Carey",VLDB,1996
Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996
DBIS-Toolkit: Adaptable Middleware for Large Scale Data Delivery,"Demet Aksoy, Mehmet Altinel, Stanley B. Zdonik, Thomas Baby, William Shapiro, Michael J. Franklin",SIGMOD Conference,1999
A Framework for Implementing Hypothetical Queries,"Timothy Griffin, Richard Hull",SIGMOD Conference,1997
In-context peer-to-peer information filtering on the Web,Aris M. Ouksel,SIGMOD Conference,2003
PTool: A Light Weight Persistent Object Manager,"David Hanley, Robert L. Grossman, Xiao Qin",SIGMOD Conference,1995
A Novel Index Supporting High Volume Data Warehouse Insertion,"Anindya Datta, Chris Jermaine, Edward Omiecinski",VLDB,1999
"Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool",SIGMOD Conference,2001
The Implementation and Performance of Compressed Databases,"Till Westmann, Sven Helmer, Guido Moerkotte, Donald Kossmann",SIGMOD Record,2000
Condition Handling in SQL Persistent Stored Modules,Jeff Richey,SIGMOD Record,1995
A Low-Cost Storage Server for Movie on Demand Databases,"Alexandros Biliris, Banu Özden, Abraham Silberschatz, Rajeev Rastogi",VLDB,1-994
Supporting Multiple View Maintenance Policies,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",SIGMOD Conference,1997
Understanding the semantics of sensor data,Murali Mani,SIGMOD Record,2003
Analysis of Locking Behavior in Three Real Database Systems,"Alan Jay Smith, Vigyan Singhal",VLDB J.,1997
