,0
Ptool: a scalable persistent object manager,1
LockX: a system for efficiently querying secure XML,2
Integrating Heterogenous Overlapping Databases through Object-Oriented Transformations,3
The onion technique: indexing for linear optimization queries,4
Meaningful change detection in structured data,5
"Mariano P. Consens, Tova Milo",6
EMC information sharing: direct access to MVS data from UNIX and NT,7
"Mark Roantree, John Murphy, Wilhelm Hasselbring",8
"DB2 Common Server: Technology, Progress, &; Directions",9
Selectivity estimation for spatio-temporal queries to moving objects,10
Access to Objects by Path Expressions and Rules,11
Querying network directories,12
Bank of America Case Study: The Information Currency Advantage,13
"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",14
Storing semistructured data with STORED,15
"Flip Korn, Alexandros Labrinidis, Yannis Kotidis, Christos Faloutsos",16
An Efficient Algorithm for Mining Association Rules in Large Databases,17
"Eva K&#252;hn, Thomas Tschernko, Konrad Schwarz",18
Selectivity Estimation in Extensible Databases - A Neural Network Approach,19
"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",20
The IMPRESS DDT: a database design toolbox based on a formal specification language,21
The Cougar Project: a work-in-progress report,22
Storage Service Providers: a Solution for Storage Management? (Panel),23
Larry J. Ellison,24
Workshop report: the first international workshop on active and real-time database systems (ARTDB-95),25
Semantic Access: Semantic Interface for Querying Databases,26
"Sophie Cluet, Claude Delobel, J&#233;r&#466;me Sim&#233;on, Katarzyna Smaga",27
Materialization: A Powerful and Ubiquitous Abstraction Pattern,28
Efficient Search of Multi-Dimensional B-Trees,29
The Clio project: managing heterogeneity,30
Anil K. Nori,31
Yun Wang,32
"Alexei P. Stolboushkin, Michael A. Taitslin",33
GlOSS: text-source discovery over the Internet,34
Approximating Aggregate Queries about Web Pages via Random Walks,35
"Christian B&#246;hm, Bernhard Braunm&#252;ller, Florian Krebs, Hans-Peter Kriegel",36
Relational data sharing in peer-based data management systems,37
Persistent Threads,38
"Mauricio A. Hern&#225;ndez, Salvatore J. Stolfo",39
A Scalable Architecture for Autonomous Heterogeneous Database Interactions,40
