id,source,sched_dep_time,sched_arr_time
1,ua,2:55 PM,4:53 PM
2,airtravelcenter,2:55 PM,4:53 PM
3,myrateplan,2:55 PM,4:53 PM
4,helloflight,2:55 PM,4:53 PM
5,flytecomm,2:55 PM,4:53 PM
6,flights,2:55 PM,4:53 PM
7,businesstravellogue,2:55 PM,4:53 PM
8,flylouisville,2:55 PM,4:53 PM
9,flightstats,2:55 PM,4:53 PM
10,quicktrip,2:55 PM,4:53 PM
11,flightview,2:55 PM,4:53 PM
12,panynj,2:55 PM,4:53 PM
13,gofox,2:55 PM,4:53 PM
14,foxbusiness,2:55 PM,4:53 PM
15,allegiantair,2:55 PM,4:53 PM
16,boston,2:55 PM,4:53 PM
17,travelocity,2:55 PM,4:53 PM
18,orbitz,2:55 PM,4:53 PM
19,weather,2:55 PM,4:53 PM
20,usatoday,2:55 PM,4:53 PM
21,ua,8:41 AM,9:54 AM
22,flightexplorer,8:41 AM,9:54 AM
23,airtravelcenter,8:41 AM,9:54 AM
24,myrateplan,8:41 AM,9:54 AM
25,helloflight,8:41 AM,9:54 AM
26,flytecomm,8:41 AM,9:54 AM
27,flightaware,8:41 AM,9:54 AM
28,wunderground,8:41 AM,9:54 AM
29,flights,8:41 AM,9:54 AM
30,businesstravellogue,8:41 AM,9:54 AM
31,flylouisville,8:41 AM,9:54 AM
32,flightstats,8:41 AM,9:54 AM
33,quicktrip,8:41 AM,9:54 AM
34,flightview,8:41 AM,9:54 AM
35,panynj,8:41 AM,9:54 AM
36,gofox,8:41 AM,9:54 AM
37,foxbusiness,8:41 AM,9:54 AM
38,allegiantair,8:41 AM,9:54 AM
39,boston,8:41 AM,9:54 AM
40,travelocity,8:41 AM,9:54 AM
41,orbitz,8:41 AM,9:54 AM
42,weather,8:41 AM,9:54 AM
43,ifly,8:41 AM,9:54 AM
44,usatoday,8:41 AM,9:54 AM
45,mytripandmore,8:41 AM,9:54 AM
46,flightwise,8:41 AM,9:54 AM
47,flightarrival,8:41 AM,9:54 AM
48,aa,1:30 PM,3:50 PM
49,flightexplorer,1:30 PM,3:50 PM
50,airtravelcenter,1:30 PM,3:50 PM
51,myrateplan,1:30 PM,3:50 PM
52,helloflight,1:30 PM,3:50 PM
53,flytecomm,1:30 PM,3:50 PM
54,flightaware,1:30 PM,3:50 PM
