id,source,sched_dep_time,sched_arr_time
1,ua,2:55 PM,4:53 PM
2,airtravelcenter,,
3,myrateplan,,
4,helloflight,,
5,flytecomm,,
6,flights,,
7,businesstravellogue,,
8,flylouisville,,
9,flightstats,2:55 PM,4:53 PM
10,quicktrip,2:55 PM,4:53 PM
11,flightview,,
12,panynj,,
13,gofox,,
14,foxbusiness,,
15,allegiantair,,
16,boston,,
17,travelocity,2:55 PM,4:53 PM
18,orbitz,2:55 PM,4:53 PM
19,weather,2:55 PM,4:53 PM
20,usatoday,,
21,ua,8:41 AM,9:54 AM
22,flightexplorer,,
23,airtravelcenter,,
24,myrateplan,,
25,helloflight,,
26,flytecomm,,
27,flightaware,8:41 AM,9:34 AM
28,wunderground,8:41 AM,9:34 AM
29,flights,,
30,businesstravellogue,,
31,flylouisville,,
32,flightstats,8:41 AM,9:54 AM
33,quicktrip,8:41 AM,9:54 AM
34,flightview,,
35,panynj,,
36,gofox,,
37,foxbusiness,,
38,allegiantair,,
39,boston,,
40,travelocity,,
41,orbitz,8:41 AM,9:54 AM
42,weather,8:41 AM,9:54 AM
43,ifly,8:41 AM,9:54 AM
44,usatoday,8:41 AM,9:54 AM
45,mytripandmore,8:41 AM,9:54 AM
46,flightwise,8:41 AM,9:34 AM
47,flightarrival,8:41 AM,9:54 AM
48,aa,1:30 PM,3:50 PM
49,flightexplorer,1:30 PM,3:50 PM
50,airtravelcenter,,
51,myrateplan,,
52,helloflight,,
53,flytecomm,,
54,flightaware,1:30 PM,3:30 PM
55,wunderground,1:30 PM,3:50 PM
56,flights,1:30 PM,3:50 PM
57,businesstravellogue,1:30 PM,3:50 PM
58,flylouisville,1:30 PM,3:50 PM
59,world-flight-tracker,1:30 PM,3:50 PM
60,flightview,1:30 PM,3:50 PM
61,panynj,1:30 PM,3:50 PM
62,gofox,1:30 PM,3:50 PM
63,foxbusiness,1:30 PM,3:50 PM
64,allegiantair,1:30 PM,3:50 PM
65,boston,1:30 PM,3:50 PM
66,travelocity,1:30 PM,3:50 PM
67,orbitz,1:30 PM,3:50 PM
68,weather,1:30 PM,3:50 PM
69,mytripandmore,1:30 PM,3:50 PM
70,ua,12:30 PM,3:19 PM
71,ua,12:30 PM,3:19 PM
72,flightexplorer,,
73,flightexplorer,,
74,airtravelcenter,,
75,airtravelcenter,,
76,myrateplan,,
77,myrateplan,,
78,helloflight,,
79,helloflight,,
80,flytecomm,,
81,flytecomm,,
82,flightaware,12:30 PM,2:48 PM
83,flightaware,12:30 PM,2:48 PM
84,wunderground,12:30 PM,2:48 PM
85,wunderground,12:30 PM,2:48 PM
86,flights,,
87,flights,,
88,businesstravellogue,,
89,businesstravellogue,,
90,flylouisville,,
91,flylouisville,,
92,flightstats,12:30 PM,3:19 PM
93,quicktrip,12:30 PM,3:19 PM
94,flightview,,
95,flightview,,
96,panynj,,
97,panynj,,
98,gofox,,
99,gofox,,
100,foxbusiness,,
101,foxbusiness,,
102,allegiantair,,
103,allegiantair,,
104,boston,,
105,boston,,
106,orbitz,12:30 PM,3:19 PM
107,orbitz,12:30 PM,3:03 PM
108,iad,12:30 PM,
109,usatoday,,
110,mytripandmore,12:30 PM,3:03 PM
111,flightarrival,,
112,aa,8:20 PM,9:20 PM
113,airtravelcenter,,
114,myrateplan,,
115,helloflight,,
116,flytecomm,,
117,flightaware,8:20 PM,9:10 PM
118,wunderground,8:20 PM,9:10 PM
119,flights,,
120,businesstravellogue,,
121,flylouisville,,
122,flightstats,8:20 PM,9:20 PM
123,quicktrip,8:20 PM,9:20 PM
124,flightview,,
125,panynj,,
126,gofox,,
127,foxbusiness,,
128,allegiantair,,
129,boston,,
130,travelocity,8:20 PM,9:20 PM
131,orbitz,8:20 PM,9:18 PM
132,weather,8:20 PM,9:20 PM
133,ifly,8:20 PM,9:20 PM
134,mytripandmore,8:20 PM,9:18 PM
135,flightarrival,8:20 PM,9:20 PM
136,aa,7:10 AM,3:30 PM
137,flightexplorer,,
138,airtravelcenter,,
139,myrateplan,,
140,helloflight,,
141,flytecomm,,
142,flightaware,7:10 AM,2:52 PM
143,wunderground,7:10 AM,2:52 PM
144,flights,7:10 AM,3:30 PM
145,businesstravellogue,7:10 AM,3:30 PM
146,flylouisville,7:10 AM,3:30 PM
147,flightstats,7:10 AM,3:30 PM
148,quicktrip,7:10 AM,3:30 PM
149,world-flight-tracker,7:10 AM,3:30 PM
150,flightview,7:10 AM,3:30 PM
151,panynj,7:10 AM,3:30 PM
152,gofox,7:10 AM,3:30 PM
153,foxbusiness,7:10 AM,3:30 PM
154,allegiantair,7:10 AM,3:30 PM
155,boston,7:10 AM,3:30 PM
156,travelocity,7:10 AM,3:30 PM
157,orbitz,7:10 AM,3:30 PM
158,weather,7:10 AM,3:30 PM
159,flightarrival,7:10 AM,3:30 PM
160,aa,7:00 AM,9:55 AM
161,flightexplorer,,
162,airtravelcenter,,
163,myrateplan,,
164,helloflight,,
165,flytecomm,,
166,flightaware,7:00 AM,9:45 AM
167,wunderground,7:00 AM,9:45 AM
168,flights,7:00 AM,9:55 AM
169,businesstravellogue,7:00 AM,9:55 AM
170,flylouisville,7:00 AM,9:55 AM
171,flightstats,7:00 AM,9:55 AM
172,quicktrip,7:00 AM,9:55 AM
173,world-flight-tracker,7:00 AM,9:55 AM
174,flightview,7:00 AM,9:55 AM
175,panynj,7:00 AM,9:55 AM
176,gofox,7:00 AM,9:55 AM
177,foxbusiness,7:00 AM,9:55 AM
178,allegiantair,7:00 AM,9:55 AM
179,boston,7:00 AM,9:55 AM
180,travelocity,7:00 AM,9:55 AM
181,orbitz,7:00 AM,9:55 AM
182,weather,7:00 AM,9:55 AM
183,ifly,7:00 AM,9:55 AM
184,usatoday,7:00 AM,9:55 AM
185,mytripandmore,7:00 AM,9:55 AM
186,flightarrival,7:00 AM,9:55 AM
187,aa,6:00 AM,7:30 AM
188,flightexplorer,,
189,airtravelcenter,,
190,myrateplan,,
191,helloflight,,
192,flytecomm,,
193,flightaware,6:00 AM,6:50 AM
194,wunderground,6:00 AM,6:50 AM
195,flights,6:00 AM,7:30 AM
196,businesstravellogue,6:00 AM,7:30 AM
197,flylouisville,6:00 AM,7:30 AM
198,flightstats,6:00 AM,7:30 AM
199,quicktrip,6:00 AM,7:30 AM
200,world-flight-tracker,6:00 AM,7:30 AM
201,flightview,6:00 AM,7:30 AM
202,panynj,6:00 AM,7:30 AM
203,gofox,6:00 AM,7:30 AM
204,foxbusiness,6:00 AM,7:30 AM
205,allegiantair,6:00 AM,7:30 AM
206,boston,6:00 AM,7:30 AM
207,travelocity,6:00 AM,7:30 AM
208,orbitz,6:00 AM,7:30 AM
209,weather,6:00 AM,7:30 AM
210,ord,6:00 AM,7:30 AM
211,ifly,6:00 AM,7:30 AM
212,mytripandmore,6:00 AM,7:30 AM
213,flightwise,6:00 AM,6:50 AM
214,aa,6:40 AM,9:25 AM
215,airtravelcenter,,
216,myrateplan,,
217,helloflight,,
218,flytecomm,,
219,flightaware,6:40 AM,8:54 AM
220,wunderground,6:40 AM,8:54 AM
221,flights,6:40 AM,9:25 AM
222,businesstravellogue,6:40 AM,9:25 AM
223,flylouisville,6:40 AM,9:25 AM
224,flightstats,6:40 AM,9:25 AM
225,quicktrip,6:40 AM,9:25 AM
226,world-flight-tracker,6:40 AM,9:25 AM
227,flightview,6:40 AM,9:25 AM
228,panynj,6:40 AM,9:25 AM
229,gofox,6:40 AM,9:25 AM
230,foxbusiness,6:40 AM,9:25 AM
231,allegiantair,6:40 AM,9:25 AM
232,boston,6:40 AM,9:25 AM
233,travelocity,6:40 AM,9:25 AM
234,orbitz,6:40 AM,9:25 AM
235,weather,6:40 AM,9:25 AM
236,usatoday,6:40 AM,9:25 AM
237,aa,4:55 PM,8:05 AM
238,flightexplorer,,
239,airtravelcenter,,
240,myrateplan,,
241,helloflight,,
242,flytecomm,,
243,flightaware,4:55 PM,7:38 PM
244,wunderground,4:55 PM,7:38 PM
245,flights,,
246,businesstravellogue,,
247,flylouisville,,
248,flightstats,4:55 PM,8:05 PM
249,quicktrip,4:55 PM,8:05 PM
250,flightview,,
251,panynj,,
252,gofox,,
253,foxbusiness,,
254,allegiantair,,
255,boston,,
256,orbitz,4:55 PM,8:05 PM
257,mytripandmore,4:55 PM,8:05 PM
258,ua,8:55 AM,11:45 AM
259,airtravelcenter,8:55 AM,11:45 AM
260,myrateplan,8:55 AM,11:45 AM
261,helloflight,8:55 AM,11:45 AM
262,flytecomm,8:55 AM,11:45 AM
263,flights,,
264,businesstravellogue,,
265,flylouisville,,
266,flightview,,
267,panynj,,
268,gofox,,
269,foxbusiness,,
