.CD,o86v1r6675n9ryy2t8r,F:.IJNZ,B:BIJcZ
..BG,uryy2syvtu7,G:AHJNZ,H:ACJNZ
..C.,o86v1r6675n9ryy2t8r,G:AHJNZ,H:ACJNZ
AIEC,25ov7?,B:IDJcZ,E:BIJcZ
GAD,48vpx75v3,H:IIJcZ,.A:.DJNZ
CGE,081qr5t5281q,.:IIJcZ,A:BDJcZ
.EI.,3n1!1w,..:CDJNZ,A:IIJcZ
.FI.,3n1!1w,C:IIJcZ,E:CIJcZ
AE.,uryy2syvtu7,G:DDJNZ,..:CDJNZ
.DA.,uryy2syvtu7,.I:CIJNZ,A:DHJcZ
.BDD,nv575n9rypr17r5,G:ADJcZ,..:DIJcZ
.BDI,86n72qn!,E:IIJNZ,E:CIJNZ
.GB,vsy!,F:IIJNZ,H:DDJNZ
.CI.,syvtu7r 3y25r5,E:DHJNZ,.I:BCJNZ
.IH.,nv575n9rypr17r5,E:IIJNZ,F:ABJNZ
.DG,0rn7ur5,F:.IJNZ,B:BIJcZ
.A.B,sy!7rp2zz,.I:ADJNZ,E:CCJcZ
AIIH,3n1!1w,G:BDJNZ,..:DIJNZ
HCC,z!5n7r3yn1,.I:CIJNZ,.A:DDJcZ
.HH.,0rn7ur5,.A:IIJcZ,B:.DJcZ
BBC,48vpx75v3,..:IDJNZ,C:DFJcZ
AADD,z!5n7r3yn1,..:.DJNZ,.:CIJcZ
.AI.,nyyrtvn17nv5,.I:.DJNZ,.A:.IJcZ
DI,nv575n9rypr17r5,.:BIJcZ,B:DIJcZ
.EFE,48vpx75v3,C:IIJcZ,F:IDJcZ
GGI,t2s2 ,A:BDJcZ,C:IDJcZ
EG,0rn7ur5,.:BIJcZ,B:DIJcZ
F.G,sy!7rp2zz,.I:CIJNZ,A:CDJcZ
..GB,nn,.I:.DJNZ,.A:.IJcZ
.FHF,nv575n9rypr17r5,E:CDJNZ,F:CDJNZ
.CHH,081qr5t5281q,F:.DJNZ,.I:BDJNZ
AIH.,25ov7?,E:CDJcZ,H:.IJcZ
.BF,syvtu7r 3y25r5,F:.IJNZ,B:BIJcZ
ABI,s2 o86v1r66,E:CIJNZ,H:ADJNZ
AIDI,081qr5t5281q,B:IDJcZ,E:BIJcZ
ABI.,t2s2 ,F:CDJcZ,.I:BIJcZ
CIF,3n1!1w,..:CIJNZ,.:.FJcZ
ABAA,sy!7rp2zz,H:CDJNZ,.:.EJcZ
.AFB,nyyrtvn17nv5,F:.DJcZ,.A:A.JNZ
ABIB,s2 o86v1r66,F:CDJcZ,.I:BIJcZ
.AFG,vsy!,F:.DJcZ,.A:A.JNZ
ABIC,s2 o86v1r66,F:CDJcZ,.I:BIJcZ
GFG,syvtu79vr0,A:BDJcZ,C:IDJcZ
C.A,25ov7?,..:CIJNZ,.:.FJcZ
AIHD,z!75v3n1qz25r,E:CDJcZ,H:.IJcZ
A.B.,syvtu7n0n5r,..:ADJcZ,E:DDJNZ
.EDH,75n9ry2pv7!,..:DIJNZ,B:DIJcZ
.IDH,25q,G:IIJcZ,H:CDJcZ
.EGB,o26721,C:IIJcZ,F:IDJcZ
.DAA,sy!7rp2zz,.I:CIJNZ,A:DHJcZ
.A.E,sy!y28v69vyyr,.I:ADJNZ,E:CCJcZ
.GHH,t2s2 ,G:.DJNZ,.I:IEJNZ
DFA,75n9ry2pv7!,B:AFJcZ,D:IDJcZ
BEA,3n1!1w,..:DDJNZ,E:.FJcZ
.GE.,o26721,.:CDJcZ,G:AFJNZ
.ACF,s2 o86v1r66,C:.DJcZ,F:DDJcZ
A.CG,zp2,..:ADJcZ,E:DDJNZ
.HIE,86n72qn!,G:.DJNZ,.I:IEJNZ
..BD,syvtu7r 3y25r5,G:AHJNZ,H:ACJNZ
.GHC,sy!y28v69vyyr,G:.DJNZ,.I:IEJNZ
ACCD,syvtu7n55v9ny,F:BDJNZ,H:A.JNZ
.FHD,nn,E:CDJNZ,F:CDJNZ
AIII,syvtu7n0n5r,G:BDJNZ,..:DIJNZ
ACAI,nyyrtvn17nv5,.I:CDJNZ,A:AIJcZ
GAH,t2s2 ,H:IIJcZ,.A:.DJNZ
HCH,syvtu76,.I:CIJNZ,.A:DDJcZ
GCH,sy!y28v69vyyr,F:DDJNZ,..:IDJNZ
AG.,syvtu7n0n5r,E:BIJcZ,F:ADJcZ
GFH,3n1!1w,A:BDJcZ,C:IDJcZ
BB.,o86v1r6675n9ryy2t8r,..:IDJNZ,C:DFJcZ
AAGC,sy!7rp2zz,F:CDJcZ,.I:BIJcZ
ABFD,syvtu79vr0,..:IGJcZ,D:..JNZ
.BEE,025yq-syvtu7-75npxr5,G:ADJcZ,..:DIJcZ
.HDI,nv575n9rypr17r5,..:ADJNZ,A:DIJcZ
ADB,s2 o86v1r66,C:DDJcZ,G:IDJcZ
.GDD,sy!y28v69vyyr,.:CDJcZ,G:AFJNZ
.C,s2 o86v1r66,A:DDJcZ,C:DBJcZ
DH.,o26721,F:IDJNZ,.I:B.JNZ
A.AB,z!75v3n1qz25r,F:BIJNZ,G:IIJNZ
.CGB,3n1!1w,B:BDJcZ,C:IIJcZ
BBH,s2 o86v1r66,..:IDJNZ,C:DFJcZ
DDD,8n,B:AFJcZ,D:IDJcZ
.CID,sy!7rp2zz,E:DHJNZ,.I:BCJNZ
CIE,syvtu79vr0,..:CIJNZ,.:.FJcZ
BBG,t2s2 ,..:IDJNZ,C:DFJcZ
AACI,025yq-syvtu7-75npxr5,A:DDJcZ,D:DDJcZ
AB.C,25q,F:CDJcZ,.I:BIJcZ
CDD,0rn7ur5,.I:BHJNZ,..:.HJNZ
.CGI,syvtu767n76,B:BDJcZ,C:IIJcZ
AA..,o86v1r6675n9ryy2t8r,H:IDJNZ,.A:BDJcZ
FH,uryy2syvtu7,.A:BIJcZ,B:.HJcZ
.I.D,nv575n9rypr17r5,A:DBJcZ,C:CGJcZ
A.AC,nn,..:ADJcZ,E:DDJNZ
HAF,o86v1r6675n9ryy2t8r,F:BDJNZ,H:CBJNZ
GDI,syvtu767n76,F:DDJNZ,..:IDJNZ
AI.E,0rn7ur5,G:BDJNZ,..:DIJNZ
.FID,o26721,C:IIJcZ,E:CIJcZ
AICF,uryy2syvtu7,B:IDJcZ,E:BIJcZ
FGD,6s2,F:.IJNZ,.I:CDJNZ
.A.I,nv575n9rypr17r5,.I:ADJNZ,E:CCJcZ
AEA,sy!7rp2zz,G:DDJNZ,..:CDJNZ
A..I,48vpx75v3,F:BIJNZ,G:IIJNZ
C.I,nyyrtvn17nv5,..:CIJNZ,.:.FJcZ
A.BE,syvtu767n76,..:ADJcZ,E:DDJNZ
.GID,sy!y28v69vyyr,E:CDJNZ,F:CDJNZ
HE.,75n9ry2pv7!,.I:CIJNZ,.A:DDJcZ
HED,syvtu7n55v9ny,.I:CIJNZ,.A:DDJcZ
BII,z!75v3n1qz25r,E:BIJcZ,F:ADJcZ
ABHB,081qr5t5281q,.:AHJcZ,C:.FJcZ
EEE,t2s2 ,D:BIJcZ,E:CIJcZ
CHG,o26721,.:IIJcZ,A:BDJcZ
