DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Adaptable Query Optimization and Evaluation in Temporal Middleware,"Christian S. Jensen, Richard T. Snodgrass, Giedrius Slivinskas",SIGMOD Conference,2001,Adaptable query optimization and evaluation in temporal middleware,"Giedrius Slivinskas, Christian S. Jensen, Richard Thomas Snodgrass",International Conference on Management of Data,2001
"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",SIGMOD Conference,2001,"A robust, optimization-based approach for approximate answering of aggregate queries","Surajit Chaudhuri, Gautam Das, Vivek Narasayya",International Conference on Management of Data,2001
Microsoft Site Server (Commerce Edition),Bassel Ojjeh,SIGMOD Conference,1999,Microsoft site server (commerce ed.): Talk-slides available at the conference,Bassel Ojjeh,International Conference on Management of Data,1999
InfoSleuth: Semantic Integration of Information in Open and Dynamic Environments (Experience Paper),"Gale Martin, Ray Shea, Tomasz Ksiezyk, Roberto J. Bayardo Jr., Marian H. Nodine, William Bohrer, Vipul Kashyap, C. Unnikrishnan, Richard S. Brice, Mosfeq Rashid, Amy Unruh, Abdelsalam Helal, Andrzej Cichocki, Marek Rusinkiewicz, Darrell Woelk, Jerry Fowler",SIGMOD Conference,1997,InfoSleuth: agent-based semantic integration of information in open and dynamic environments,"R. J. Bayardo, Jr., W. Bohrer, R. Brice, A. Cichocki, J. Fowler, A. Helal, V. Kashyap, T. Ksiezyk, G. Martin, M. Nodine, M. Rashid, M. Rusinkiewicz, R. Shea, C. Unnikrishnan, A. Unruh, D. Woelk",International Conference on Management of Data,1997
The BUCKY Object-Relational Benchmark (Experience Paper),"Jeffrey F. Naughton, Michael J. Carey, Dhaval Shah, Johannes Gehrke, Mohammad Asgarian, David J. DeWitt, Paul Brown",SIGMOD Conference,1997,The BUCKY object-relational benchmark,"Michael J. Carey, David J. DeWitt, Jeffrey F. Naughton, Mohammad Asgarian, Paul Brown, Johannes E. Gehrke, Dhaval N. Shah",International Conference on Management of Data,1997
Tutorial: Designing an Ultra Highly Available DBMS,"Øystein Torbjørnsen, Svein Erik Bratsberg",SIGMOD Conference,2000,Designing an ultra highly available DBMS (tutorial session),"Svein Erik Bratsberg, &#216;ystein Torbj&#248;rnsen",International Conference on Management of Data,2000
An Open Storage System for Abstract Objects,"Lukas Relly, Stephen Blott, Hans-Jörg Schek",SIGMOD Conference,1996,An open abstract-object storage system,"Stephen Blott, Lukas Relly, Hans-J&#246;rg Schek",International Conference on Management of Data,1996
Objects and SQL: Strange Relations? Panel,Donald R. Deutsch,SIGMOD Conference,1995,Objects and SQL (panel session): strange relations?,Donald R. Deutsch,International Conference on Management of Data,1995
Indexing Multimedia Databases (Tutorial),Christos Faloutsos,SIGMOD Conference,1995,Indexing multimedia databases,Christos Faloutsos,International Conference on Management of Data,1995
Hot Mirroring: A Study to Hide Parity Upgrade Penalty and Degradations During Rebuilds for RAID5,"Masaru Kitsuregawa, Kazuhiko Mogi",SIGMOD Conference,1996,Hot mirroring: a method of hiding parity update penalty and degradation during rebuilds for RAID5,"Kazuhiko Mogi, Masaru Kitsuregawa",International Conference on Management of Data,1996
Online Query Processing,"Peter J. Haas, Joseph M. Hellerstein",SIGMOD Conference,2001,Online query processing: a tutorial,"Peter J. Haas, Joseph M. Hellerstein",International Conference on Management of Data,2001
"``Honey, I Shrunk the DBMS'': Footprint, Mobility, and Beyond (Panel)",Praveen Seshadri,SIGMOD Conference,1999,"Honey, I shrunk the database: footprint, mobility, and beyond",Praveen Seshadri,International Conference on Management of Data,1999
The PointCast Network,"Vibha Dayal, Satish Ramakrishnan",SIGMOD Conference,1998,The PointCast network (abstract),"Satish Ramakrishnan, Vibha Dayal",International Conference on Management of Data,1998
E-Commerce Database Issues and Experience,Anand Rajaraman,SIGMOD Conference,1999,E-commerce database issues and experience: (talk-slides available at at the conference),Anand Rajaraman,International Conference on Management of Data,1999
On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,SIGMOD Conference,2000,Of XML and databases (panel session): where's the beef?,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",International Conference on Management of Data,2000
Index Research: Forest or Trees? (Panel Abstract),Joseph M. Hellerstein,SIGMOD Conference,2000,Index research (panel session): forest or trees?,"Joseph M. Hellerstein, Hans-Peter Kriegel, David Comet, Christos Falsutsos, Raghu Ramakrishnan, Paul Brown",International Conference on Management of Data,2000
Tutorial: Data Access,"Anand Deshpande, José A. Blakeley",SIGMOD Conference,2000,Data access (tutorial session),"Jos&#233; A. Blakeley, Anand Deshpande",International Conference on Management of Data,2000
Bit-Sliced Index Arithmetic,"Elizabeth J. O'Neil, Denis Rinfret, Patrick E. O'Neil",SIGMOD Conference,2001,Bit-sliced index arithmetic,"Denis Rinfret, Patrick O'Neil, Elizabeth O'Neil",International Conference on Management of Data,2001
Data Bubbles: Quality Preserving Performance Boosting for Hierarchical Clustering,"Jörg Sander, Hans-Peter Kriegel, Peer Kröger, Markus M. Breunig",SIGMOD Conference,2001,Data bubbles: quality preserving performance boosting for hierarchical clustering,"Markus M. Breunig, Hans-Peter Kriegel, Peer Kr&#246;ger, J&#246;rg Sander",International Conference on Management of Data,2001
Global Optimization of Histograms,"H. V. Jagadish, Kian-Lee Tan, Hui Jin, Beng Chin Ooi",SIGMOD Conference,2001,Global optimization of histograms,"H. V. Jagadish, Hui Jin, Beng Chin Ooi, Kian-Lee Tan",International Conference on Management of Data,2001
Experiences in Mining Aviation Safety Data,"Zohreh Nazeri, Paul Ostwald, Eric Bloedorn",SIGMOD Conference,2001,Experiences in mining aviation safety data,"Zohreh Nazeri, Eric Bloedorn, Paul Ostwald",International Conference on Management of Data,2001
DyDa: Data Warehouse Maintenance in Fully Concurrent Environments,"Songting Chen, Andreas Koeller, Elke A. Rundensteiner, Xin Zhang, Jun Chen",SIGMOD Conference,2001,DyDa: data warehouse maintenance in fully concurrent environments,"Jun Chen, Xin Zhang, Songting Chen, Andreas Koeller, Elke A. Rundensteiner",International Conference on Management of Data,2001
Epsilon Grid Order: An Algorithm for the Similarity Join on Massive High-Dimensional Data,"Florian Krebs, Christian Böhm, Bernhard Braunmüller, Hans-Peter Kriegel",SIGMOD Conference,2001,Epsilon grid order: an algorithm for the similarity join on massive high-dimensional data,"Christian B&#246;hm, Bernhard Braunm&#252;ller, Florian Krebs, Hans-Peter Kriegel",International Conference on Management of Data,2001
Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",SIGMOD Conference,2001,Dynamic content acceleration: a caching solution to enable scalable dynamic Web page generation,"Anindya Datta, Kaushik Dutta, Krithi Ramamritham, Helen Thomas, Debra VanderMeer",International Conference on Management of Data,2001
Clio: A Semi-Automatic Tool For Schema Mapping,"Laura M. Haas, Renée J. Miller, Mauricio A. Hernández",SIGMOD Conference,2001,Clio: a semi-automatic tool for schema mapping,"Mauricio A. Hern&#225;ndez, Ren&#233;e J. Miller, Laura M. Haas",International Conference on Management of Data,2001
Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001,Dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",International Conference on Management of Data,2001
DNA-Miner: A System Prototype for Mining DNA Sequences,"Jiawei Han, Liangyou Chen, Jian Pei, Ying Lu, Yaqin Liao, Hasan M. Jamil",SIGMOD Conference,2001,DNA-miner: a system prototype for mining DNA sequences,"Jiawei Han, Hasan Jamil, Ying Lu, Liangyou Chen, Yaqin Liao, Jian Pei",International Conference on Management of Data,2001
"COSIMA - Your Smart, Speaking E-Salesperson","Werner Kießling, Thorsten Ehm, Stefan Holland, Stefan Fischer 0003",SIGMOD Conference,2001,"COSIMA- your smart, speaking E-salesperson","Werner Kie&#946;ling, Stefan Holland, Stefan Fischer, Thorsten Ehm",International Conference on Management of Data,2001
Data-Driven Understanding and Refinement of Schema Mappings,"Laura M. Haas, Ling-Ling Yan, Ronald Fagin, Renée J. Miller",SIGMOD Conference,2001,Data-driven understanding and refinement of schema mappings,"Ling Ling Yan, Ren&#233;e J. Miller, Laura M. Haas, Ronald Fagin",International Conference on Management of Data,2001
Efficient Evaluation of XML Middle-ware Queries,"Mary F. Fernandez, Dan Suciu, Atsuyuki Morishima",SIGMOD Conference,2001,Efficient evaluation of XML middle-ware queries,"Mary Fernandez, Atsuyuki Morishima, Dan Suciu",International Conference on Management of Data,2001
Enabling Dynamic Content Caching for Database-Driven Web Sites,"Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K. Selçuk Candan",SIGMOD Conference,2001,Enabling dynamic content caching for database-driven web sites,"K. Sel&#231;uk Candan, Wen-Syan Li, Qiong Luo, Wang-Pin Hsiung, Divyakant Agrawal",International Conference on Management of Data,2001
Automatic Segmentation of Text into Structured Records,"Vinayak R. Borkar, Sunita Sarawagi, Kaustubh Deshmukh",SIGMOD Conference,2001,Automatic segmentation of text into structured records,"Vinayak Borkar, Kaustubh Deshmukh, Sunita Sarawagi",International Conference on Management of Data,2001
Communication Efficient Distributed Mining of Association Rules,"Ran Wolff, Assaf Schuster",SIGMOD Conference,2001,Communication-efficient distributed mining of association rules,"Assaf Schuster, Ran Wolff",International Conference on Management of Data,2001
Efficient Computation of Iceberg Cubes with Complex Measures,"Guozhu Dong, Jian Pei, Jiawei Han, Ke Wang",SIGMOD Conference,2001,Efficient computation of Iceberg cubes with complex measures,"Jiawei Han, Jian Pei, Guozhu Dong, Ke Wang",International Conference on Management of Data,2001
Catalog Management in Websphere Commerce Suite,Thomas Maguire,SIGMOD Conference,2001,Catalog management in websphere commerce suite,Thomas Maguire,International Conference on Management of Data,2001
Exploiting Constraint-Like Data Characterizations in Query Optimization,"Jarek Gryz, Calisto Zuzarte, Parke Godfrey",SIGMOD Conference,2001,Exploiting constraint-like data characterizations in query optimization,"Parke Godfrey, Jarek Gryz, Calisto Zuzarte",International Conference on Management of Data,2001
Filtering Algorithms and Implementation for Very Fast Publish/Subscribe,"Kenneth A. Ross, Françoise Fabret, François Llirbat, João Pereira, Hans-Arno Jacobsen, Dennis Shasha",SIGMOD Conference,2001,Filtering algorithms and implementation for very fast publish/subscribe systems,"Fran&#231;oise Fabret, H. Arno Jacobsen, Fran&#231;ois Llirbat, Jo&#259;o Pereira, Kenneth A. Ross, Dennis Shasha",International Conference on Management of Data,2001
