DBLP'title,DBLP'authors,DBLP'venue,DBLP'year,ACM'title,ACM'authors,ACM'venue,ACM'year
Un6u+W2v16+n1q+Un6u+grnz6+v1+Zvp5262s7+fdY+fr59r5,fun81+P223r5B+T2r7?+T5nrsrB+e266+O81xr5,iYQO,.**&,Hash Joins and Hash Teams in Microsoft SQL Server,"Goetz Graefe, Ross Bunker, Shaun Cooper",Very Large Data Bases,1998
N+a25zny+S25z+s25+c5rpv6ry!+Pun5np7r5v?v1t+erq81qn1p!+v1+ar67rq+eryn7v216,lv8-Xnv+atB+Qn9vq+jA+Rzoyr!B+jnv+lv1+Z2x,NPZ+g5n16A+Qn7non6r+f!67A,.-**%,A normal form for precisely characterizing redundancy in nested relations,"Wai Yin Mok, Yiu-Kai Ng, David W. Embley",ACM Transactions on Database Systems (TODS) ,1996
en3vq+O86u!+W2v1-25qr5+b37vzv?n7v21+0v7u+Pn57r6vn1+c52q8p76,Or11r7+in1prB+Qn9vq+Znvr5,fVTZbQ+P21sr5r1pr,.**%,Rapid bushy join-order optimization with Cartesian products,"Bennet Vance, David Maier",International Conference on Management of Data,1996
V1s25zn7v21+Zn1ntrzr17+s25+Tr12zr+Yr9ry+Ov2v1s25zn7vp6,a25zn1+jA+cn721B+Pn52yr+NA+T2oyr,iYQO,",__.",Information Management for Genome Level Bioinformatics,"Norman W. Paton, Carole A. Goble",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,2001
N+Z2qvsvrq+en1q2z+cr5785on7v21+Zr7u2q+s25+Qn7non6r+frp85v7!,a25zn1+fA+Zn7y2ssB+cn75vpx+gr1qvpx,NPZ+g5n16A+Qn7non6r+f!67A,.**#,A modified random perturbation method for database security,"Patrick Tendick, Norman Matloff",ACM Transactions on Database Systems (TODS) ,1994
Qn7n-Q5v9r1B+b1r-g2-b1r+jro+fv7r+Tr1r5n7v21+s25+Qn7n-V17r16v9r+N33yvpn7v216,f7rsn12+cn5no26puvB+cvr52+S5n7r51nyvB+f7rsn12+Pr5v,iYQO,.***,"Data-Driven, One-To-One Web Site Generation for Data-Intensive Applications","Stefano Ceri, Piero Fraternali, Stefano Paraboschi",The VLDB Journal &mdash; The International Journal on Very Large Data Bases ,1999
N1+Nqn37v9r+Qn7n+er3yvpn7v21+Nyt25v7uz,b85v+j2ys621B+lv v8+U8n1tB+f86uvy+Wnw2qvn,NPZ+g5n16A+Qn7non6r+f!67A,.**^, ,"Ouri Wolfson, Sushil Jajodia, Yixiu Huang",ACM Transactions on Database Systems (TODS) ,1997
N+ar0+W2v1+Nyt25v7uz,N512yq+Pun5yr6+Zry7?r5B+Q21t+Xr81+fuv1,fVTZbQ+erp25q,.**#,A new join algorithm,"Dong Keun Shin, Arnold Charles Meltzer",ACM SIGMOD Record ,1994
keNaXM+en1xrq+Xr!025q+frn5pu+29r5+kZY+Q2p8zr176,Sr1t+fun2B+Yv1+T82B+Pun9qn5+O27r9B+Wn!n9ry+fun1z8tn681qn5nz,fVTZbQ+P21sr5r1pr,",__;",XRANK: ranked keyword search over XML documents,"Lin Guo, Feng Shao, Chavdar Botev, Jayavel Shanmugasundaram",International Conference on Management of Data,2003
R1r5t!+Rssvpvr17+V1qr v1t+21+Nv5,fA+iv60n1n7un1B+OA+eA+Onq5v1n7uB+g2zn6?+Vzvryv16xv,fVTZbQ+P21sr5r1pr,.**#,Energy efficient indexing on air,"Tomasz Imielinski, S. Viswanathan, B. R. Badrinath",International Conference on Management of Data,1994
