id,source,sched_dep_time,sched_arr_time,id,flight,act_dep_time,act_arr_time
1,ua,2:55 PM,4:53 PM,1,UA-2708-EWR-CLT,2:55 PM,4:44 PM
2,airtravelcenter,2:55 PM,4:53 PM,2,UA-2708-EWR-CLT,2:55 PM,4:44 PM
3,myrateplan,2:55 PM,4:53 PM,3,UA-2708-EWR-CLT,2:55 PM,4:44 PM
4,helloflight,2:55 PM,4:53 PM,4,UA-2708-EWR-CLT,2:55 PM,4:44 PM
5,flytecomm,2:55 PM,4:53 PM,5,UA-2708-EWR-CLT,2:55 PM,4:44 PM
6,flights,2:55 PM,4:53 PM,6,UA-2708-EWR-CLT,2:55 PM,4:44 PM
7,businesstravellogue,2:55 PM,4:53 PM,7,UA-2708-EWR-CLT,2:55 PM,4:44 PM
8,flylouisville,2:55 PM,4:53 PM,8,UA-2708-EWR-CLT,2:55 PM,4:44 PM
9,flightstats,2:55 PM,4:53 PM,9,UA-2708-EWR-CLT,2:55 PM,4:44 PM
10,quicktrip,2:55 PM,4:53 PM,10,UA-2708-EWR-CLT,2:55 PM,4:44 PM
11,flightview,2:55 PM,4:53 PM,11,UA-2708-EWR-CLT,2:55 PM,4:44 PM
12,panynj,2:55 PM,4:53 PM,12,UA-2708-EWR-CLT,2:55 PM,4:44 PM
13,gofox,2:55 PM,4:53 PM,13,UA-2708-EWR-CLT,2:55 PM,4:44 PM
14,foxbusiness,2:55 PM,4:53 PM,14,UA-2708-EWR-CLT,2:55 PM,4:44 PM
15,allegiantair,2:55 PM,4:53 PM,15,UA-2708-EWR-CLT,2:55 PM,4:44 PM
16,boston,2:55 PM,4:53 PM,16,UA-2708-EWR-CLT,2:55 PM,4:44 PM
17,travelocity,2:55 PM,4:53 PM,17,UA-2708-EWR-CLT,2:55 PM,4:44 PM
18,orbitz,2:55 PM,4:53 PM,18,UA-2708-EWR-CLT,2:55 PM,4:44 PM
19,weather,2:55 PM,4:53 PM,19,UA-2708-EWR-CLT,2:55 PM,4:44 PM
20,usatoday,2:55 PM,4:53 PM,20,UA-2708-EWR-CLT,2:55 PM,4:44 PM
21,ua,8:41 AM,9:54 AM,21,UA-3925-IAD-ORF,8:42 AM,9:43 AM
22,flightexplorer,8:41 AM,9:54 AM,22,UA-3925-IAD-ORF,8:42 AM,9:43 AM
23,airtravelcenter,8:41 AM,9:54 AM,23,UA-3925-IAD-ORF,8:42 AM,9:43 AM
24,myrateplan,8:41 AM,9:54 AM,24,UA-3925-IAD-ORF,8:42 AM,9:43 AM
25,helloflight,8:41 AM,9:54 AM,25,UA-3925-IAD-ORF,8:42 AM,9:43 AM
26,flytecomm,8:41 AM,9:54 AM,26,UA-3925-IAD-ORF,8:42 AM,9:43 AM
27,flightaware,8:41 AM,9:54 AM,27,UA-3925-IAD-ORF,8:42 AM,9:43 AM
28,wunderground,8:41 AM,9:54 AM,28,UA-3925-IAD-ORF,8:42 AM,9:43 AM
29,flights,8:41 AM,9:54 AM,29,UA-3925-IAD-ORF,8:42 AM,9:43 AM
30,businesstravellogue,8:41 AM,9:54 AM,30,UA-3925-IAD-ORF,8:42 AM,9:43 AM
31,flylouisville,8:41 AM,9:54 AM,31,UA-3925-IAD-ORF,8:42 AM,9:43 AM
32,flightstats,8:41 AM,9:54 AM,32,UA-3925-IAD-ORF,8:42 AM,9:43 AM
33,quicktrip,8:41 AM,9:54 AM,33,UA-3925-IAD-ORF,8:42 AM,9:43 AM
34,flightview,8:41 AM,9:54 AM,34,UA-3925-IAD-ORF,8:42 AM,9:43 AM
35,panynj,8:41 AM,9:54 AM,35,UA-3925-IAD-ORF,8:42 AM,9:43 AM
36,gofox,8:41 AM,9:54 AM,36,UA-3925-IAD-ORF,8:42 AM,9:43 AM
37,foxbusiness,8:41 AM,9:54 AM,37,UA-3925-IAD-ORF,8:42 AM,9:43 AM
38,allegiantair,8:41 AM,9:54 AM,38,UA-3925-IAD-ORF,8:42 AM,9:43 AM
39,boston,8:41 AM,9:54 AM,39,UA-3925-IAD-ORF,8:42 AM,9:43 AM
40,travelocity,8:41 AM,9:54 AM,40,UA-3925-IAD-ORF,8:42 AM,9:43 AM
41,orbitz,8:41 AM,9:54 AM,41,UA-3925-IAD-ORF,8:42 AM,9:43 AM
42,weather,8:41 AM,9:54 AM,42,UA-3925-IAD-ORF,8:42 AM,9:43 AM
43,ifly,8:41 AM,9:54 AM,43,UA-3925-IAD-ORF,8:42 AM,9:43 AM
44,usatoday,8:41 AM,9:54 AM,44,UA-3925-IAD-ORF,8:42 AM,9:43 AM
45,mytripandmore,8:41 AM,9:54 AM,45,UA-3925-IAD-ORF,8:42 AM,9:43 AM
46,flightwise,8:41 AM,9:54 AM,46,UA-3925-IAD-ORF,8:42 AM,9:43 AM
47,flightarrival,8:41 AM,9:54 AM,47,UA-3925-IAD-ORF,8:42 AM,9:43 AM
48,aa,1:30 PM,3:50 PM,48,AA-649-ORD-SNA,1:30PM,3:29PM
49,flightexplorer,1:30 PM,3:50 PM,49,AA-649-ORD-SNA,1:30PM,3:29PM
50,airtravelcenter,1:30 PM,3:50 PM,50,AA-649-ORD-SNA,1:30PM,3:29PM
51,myrateplan,1:30 PM,3:50 PM,51,AA-649-ORD-SNA,1:30PM,3:29PM
52,helloflight,1:30 PM,3:50 PM,52,AA-649-ORD-SNA,1:30PM,3:29PM
53,flytecomm,1:30 PM,3:50 PM,53,AA-649-ORD-SNA,1:30PM,3:29PM
54,flightaware,1:30 PM,3:50 PM,54,AA-649-ORD-SNA,1:30PM,3:29PM
55,wunderground,1:30 PM,3:50 PM,55,AA-649-ORD-SNA,1:30PM,3:29PM
56,flights,1:30 PM,3:50 PM,56,AA-649-ORD-SNA,1:30PM,3:29PM
57,businesstravellogue,1:30 PM,3:50 PM,57,AA-649-ORD-SNA,1:30PM,3:29PM
58,flylouisville,1:30 PM,3:50 PM,58,AA-649-ORD-SNA,1:30PM,3:29PM
59,world-flight-tracker,1:30 PM,3:50 PM,59,AA-649-ORD-SNA,1:30PM,3:29PM
60,flightview,1:30 PM,3:50 PM,60,AA-649-ORD-SNA,1:30PM,3:29PM
61,panynj,1:30 PM,3:50 PM,61,AA-649-ORD-SNA,1:30PM,3:29PM
